Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0220703,2021/12/12,2021/12/15,,,,,,,666.0400,0.0000,85.6700,1.0000,0,0,751.71
T0220703,2021/12/12,2021/12/15,"Duncan, Hon. Kirsty",Member,To travel to/from constituency and Ottawa,2021/12/12,Toronto,Ottawa,,,,,,,
T0220703,2021/12/12,2021/12/15,"Duncan, Hon. Kirsty",Member,To travel to/from constituency and Ottawa,2021/12/15,Ottawa,Toronto,,,,,,,
T0222936,2022/02/15,2022/02/18,,,,,,,699.9700,579.2100,138.0400,1.0000,0,0,1417.22
T0222936,2022/02/15,2022/02/18,"Duncan, Hon. Kirsty",Member,To travel to/from constituency and Ottawa,2022/02/15,Toronto,Ottawa,,,,,,,
T0222936,2022/02/15,2022/02/18,"Duncan, Hon. Kirsty",Member,To travel to/from constituency and Ottawa,2022/02/18,Ottawa,Toronto,,,,,,,
T0223559,2022/02/27,2022/03/04,,,,,,,666.0400,0.0000,204.5400,1.0000,0,0,870.58
T0223559,2022/02/27,2022/03/04,"Duncan, Hon. Kirsty",Member,To travel to/from constituency and Ottawa,2022/02/27,Toronto,Ottawa,,,,,,,
T0223559,2022/02/27,2022/03/04,"Duncan, Hon. Kirsty",Member,To travel to/from constituency and Ottawa,2022/03/04,Ottawa,Toronto,,,,,,,
T0226249,2022/03/20,2022/03/25,,,,,,,666.0400,0.0000,404.4600,1.0000,0,0,1070.50
T0226249,2022/03/20,2022/03/25,"Duncan, Hon. Kirsty",Member,To travel to/from constituency and Ottawa,2022/03/20,Toronto,Ottawa,,,,,,,
T0226249,2022/03/20,2022/03/25,"Duncan, Hon. Kirsty",Member,To travel to/from constituency and Ottawa,2022/03/25,Ottawa,Toronto,,,,,,,
T0226254,2022/03/27,2022/04/02,,,,,,,917.6200,0.0000,0.0000,1.0000,0,0,917.62
T0226254,2022/03/27,2022/04/02,"Duncan, Hon. Kirsty",Member,To travel to/from constituency and Ottawa,2022/03/27,Toronto,Ottawa,,,,,,,
T0226254,2022/03/27,2022/04/02,"Duncan, Hon. Kirsty",Member,To travel to/from constituency and Ottawa,2022/04/02,Ottawa,Toronto,,,,,,,
