Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0233308,2022/04/11,2022/04/11,,,,,,,36.2300,0.0000,0.0000,0,0.0000,0,36.23
T0233308,2022/04/11,2022/04/11,"Dhillon, Anju",Member,To attend an event as a matter of protocol,2022/04/11,LaSalle,Montreal,,,,,,,
T0233308,2022/04/11,2022/04/11,"Dhillon, Anju",Member,To attend an event as a matter of protocol,2022/04/11,Montreal,LaSalle,,,,,,,
T0231520,2022/06/16,2022/06/16,,,,,,,31.8800,0.0000,0.0000,0,0.0000,0,31.88
T0231520,2022/06/16,2022/06/16,"Dhillon, Anju",Member,To attend a constituency or community event,2022/06/16,Ottawa,Ottawa,,,,,,,
T0233219,2022/06/16,2022/06/16,,,,,,,13.3900,0.0000,0.0000,0,0.0000,0,13.39
T0233219,2022/06/16,2022/06/16,"Brisebois, Marilène",Employee,Attending event with Member,2022/06/16,Ottawa,Ottawa,,,,,,,
T0231520,2022/06/16,2022/06/16,"Dhillon, Anju",Member,To attend a constituency or community event,2022/06/16,Ottawa,Ottawa,,,,,,,
200582412,2022/07/01,2022/07/31,,,,,,,0.0000,2059.4700,0.0000,0,0,0,2059.47
200582412,2022/07/01,2022/07/31,"Dhillon, Anju",Member,Secondary Residence,2022/07/01,OTTAWA,OTTAWA,,,,,,,
T0233300,2022/07/24,2022/07/28,,,,,,,2494.7100,1869.7700,556.4900,0,1.0000,0,4920.97
T0233300,2022/07/24,2022/07/28,"Dhillon, Anju",Member,To attend a national caucus meeting,2022/07/24,Dorval,Edmonton,,,,,,,
T0233300,2022/07/24,2022/07/28,"Dhillon, Anju",Member,To attend a national caucus meeting,2022/07/28,Edmonton,Dorval,,,,,,,
200590039,2022/08/01,2022/08/31,,,,,,,0.0000,2059.4700,0.0000,0,0,0,2059.47
200590039,2022/08/01,2022/08/31,"Dhillon, Anju",Member,Secondary Residence,2022/08/01,OTTAWA,OTTAWA,,,,,,,
200600073,2022/09/01,2022/09/30,,,,,,,0.0000,2059.4700,0.0000,0,0,0,2059.47
200600073,2022/09/01,2022/09/30,"Dhillon, Anju",Member,Secondary Residence,2022/09/01,OTTAWA,OTTAWA,,,,,,,
200607364,2022/10/01,2022/10/31,,,,,,,0.0000,2059.4700,0.0000,0,0,0,2059.47
200607364,2022/10/01,2022/10/31,"Dhillon, Anju",Member,Secondary Residence,2022/10/01,OTTAWA,OTTAWA,,,,,,,
