Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0205507,2020/09/22,2020/09/22,,,,,,,779.2100,0.0000,37.1000,1.0000,0,0,816.31
T0205507,2020/09/22,2020/09/22,"Sidhu, Maninder",Member,To travel to/from constituency and Ottawa,2020/09/22,Toronto,Ottawa,,,,,,,
T0205507,2020/09/22,2020/09/22,"Sidhu, Maninder",Member,To travel to/from constituency and Ottawa,2020/09/22,Ottawa,Toronto,,,,,,,
T0205649,2020/09/24,2020/09/24,,,,,,,778.9700,0.0000,37.1000,1.0000,0,0,816.07
T0205649,2020/09/24,2020/09/24,"Sidhu, Maninder",Member,To travel to/from constituency and Ottawa,2020/09/24,Toronto,Ottawa,,,,,,,
T0205649,2020/09/24,2020/09/24,"Sidhu, Maninder",Member,To travel to/from constituency and Ottawa,2020/09/24,Ottawa,Toronto,,,,,,,
T0206790,2020/10/26,2020/10/30,,,,,,,394.5800,709.3200,379.8200,1.0000,0,0,1483.72
T0206790,2020/10/26,2020/10/30,"Sidhu, Maninder",Member,To travel to/from constituency and Ottawa,2020/10/26,Brampton,Ottawa,,,,,,,
T0206790,2020/10/26,2020/10/30,"Sidhu, Maninder",Member,To travel to/from constituency and Ottawa,2020/10/30,Ottawa,Brampton,,,,,,,
T0207097,2020/11/01,2020/11/06,,,,,,,390.3800,781.7000,425.9400,1.0000,0,0,1598.02
T0207097,2020/11/01,2020/11/06,"Sidhu, Maninder",Member,To travel to/from constituency and Ottawa,2020/11/01,Brampton,Ottawa,,,,,,,
T0207097,2020/11/01,2020/11/06,"Sidhu, Maninder",Member,To travel to/from constituency and Ottawa,2020/11/06,Ottawa,Brampton,,,,,,,
T0208563,2020/12/06,2020/12/11,,,,,,,394.5800,625.3800,398.8400,1.0000,0,0,1418.80
T0208563,2020/12/06,2020/12/11,"Sidhu, Maninder",Member,To travel to/from constituency and Ottawa,2020/12/06,Brampton,Ottawa,,,,,,,
T0208563,2020/12/06,2020/12/11,"Sidhu, Maninder",Member,To travel to/from constituency and Ottawa,2020/12/11,Ottawa,Brampton,,,,,,,
