Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0229429,2022/02/15,2022/05/25,,,,,,,0.0000,264.1000,0.0000,0,0,0,264.10
T0229429,2022/02/15,2022/05/25,"Michaud, Kristina",Member,Secondary Residence,2022/04/26,Gatineau,Gatineau,,,,,,,
T0229429,2022/02/15,2022/05/25,"Michaud, Kristina",Member,Secondary Residence,2022/04/26,Gatineau,Gatineau,,,,,,,
T0229429,2022/02/15,2022/05/25,"Michaud, Kristina",Member,Secondary Residence,2022/02/15,Gatineau,Gatineau,,,,,,,
T0229429,2022/02/15,2022/05/25,"Michaud, Kristina",Member,Secondary Residence,2022/02/15,Gatineau,Gatineau,,,,,,,
T0227015,2022/03/26,2022/04/25,,,,,,,0.0000,129.4500,0.0000,0,0,0,129.45
T0227015,2022/03/26,2022/04/25,"Michaud, Kristina",Member,Secondary Residence,2022/03/26,Gatineau,Gatineau,,,,,,,
T0227191,2022/04/01,2022/04/01,,,,,,,74.1600,0.0000,19.2900,0,0.0000,0,93.45
T0227191,2022/04/01,2022/04/01,"Lévesque-Boucher, Jérôme",Employee,To conduct constituency office business,2022/04/01,Saint-Donat,Matane,,,,,,,
T0227191,2022/04/01,2022/04/01,"Lévesque-Boucher, Jérôme",Employee,To conduct constituency office business,2022/04/01,Matane,Saint-Donat,,,,,,,
T0227008,2022/04/01,2022/04/08,,,,,,,1221.3100,0.0000,612.4500,1.5000,0,0,1833.76
T0227008,2022/04/01,2022/04/08,"Michaud, Kristina",Member,To travel to/from constituency and Ottawa,2022/04/01,Ottawa,Amqui,,,,,,,
T0227008,2022/04/01,2022/04/08,"Michaud, Kristina",Member,To travel to/from constituency and Ottawa,2022/04/04,Amqui,Ottawa,,,,,,,
T0227008,2022/04/01,2022/04/08,"Michaud, Kristina",Member,To travel to/from constituency and Ottawa,2022/04/08,Ottawa,Amqui,,,,,,,
T0227240,2022/04/01,2022/04/11,,,,,,,366.0200,174.1800,331.8300,0.5000,0,0,872.03
T0227240,2022/04/01,2022/04/11,"Francoeur, Ariane",Employee,To travel to/from constituency and Ottawa,2022/04/03,Price,Ottawa,,,,,,,
T0227445,2022/04/01,2022/04/24,,,,,,,448.8600,174.1100,163.4600,0,0.0000,0,786.43
T0227445,2022/04/01,2022/04/24,"Miousse, Ghislain",Employee,To conduct constituency office business,2022/04/11,Matane,Amqui,,,,,,,
T0227445,2022/04/01,2022/04/24,"Miousse, Ghislain",Employee,To conduct constituency office business,2022/04/11,Amqui,Matane,,,,,,,
T0227445,2022/04/01,2022/04/24,"Miousse, Ghislain",Employee,Attending event with Member,2022/04/20,Matane,Québec,,,,,,,
T0227445,2022/04/01,2022/04/24,"Miousse, Ghislain",Employee,Attending event with Member,2022/04/22,Québec,Matane,,,,,,,
T0227445,2022/04/01,2022/04/24,"Miousse, Ghislain",Employee,Attending event with Member,2022/04/20,Québec,Trois-Rivières,,,,,,,
T0227445,2022/04/01,2022/04/24,"Miousse, Ghislain",Employee,Attending event with Member,2022/04/22,Trois-Rivières,Québec,,,,,,,
400134835,2022/04/01,2022/04/30,,,,,,,0.0000,1735.0000,0.0000,0,0,0,1735.00
400134835,2022/04/01,2022/04/30,"Michaud, Kristina",Member,Secondary Residence,2022/04/01,GATINEAU,GATINEAU,,,,,,,
T0227562,2022/04/03,2022/04/08,,,,,,,0.0000,935.9700,351.6100,0.0000,0,0,1287.58
T0227562,2022/04/03,2022/04/08,"Lévesque-Boucher, Jérôme",Employee,To travel to/from constituency and Ottawa,2022/04/03,Saint-Donat (La Mitis),Ottawa,,,,,,,
T0227241,2022/04/11,2022/04/11,,,,,,,68.3800,0.0000,0.0000,0.0000,0,0,68.38
T0227241,2022/04/11,2022/04/11,"Francoeur, Ariane",Employee,To participate in a government program initiative,2022/04/11,Saint-Donat-de-Rimouski,Amqui,,,,,,,
T0227241,2022/04/11,2022/04/11,"Francoeur, Ariane",Employee,To participate in a government program initiative,2022/04/11,Amqui,Saint-Donat-de-Rimouski,,,,,,,
T0227946,2022/04/12,2022/04/14,,,,,,,128.0800,151.3100,302.4100,0.0000,0.0000,0,581.80
T0227946,2022/04/12,2022/04/14,"Michaud, Kristina",Member,To conduct constituency office business,2022/04/12,Amqui,Mont-Joli,,,,,,,
T0227946,2022/04/12,2022/04/14,"Michaud, Kristina",Member,To conduct constituency office business,2022/04/12,Mont-Joli,Amqui,,,,,,,
T0227946,2022/04/12,2022/04/14,"Michaud, Kristina",Member,To conduct constituency office business,2022/04/13,Amqui,Matane,,,,,,,
T0227946,2022/04/12,2022/04/14,"Michaud, Kristina",Member,To conduct constituency office business,2022/04/14,Matane,Amqui,,,,,,,
T0227950,2022/04/18,2022/04/22,,,,,,,515.7900,565.7500,504.0200,0.0000,0.0000,0,1585.56
T0227950,2022/04/18,2022/04/22,"Michaud, Kristina",Member,To attend a national caucus meeting,2022/04/18,Amqui,Québec,,,,,,,
T0227950,2022/04/18,2022/04/22,"Michaud, Kristina",Member,To conduct constituency office business,2022/04/20,Québec,Trois-Rivières,,,,,,,
T0227950,2022/04/18,2022/04/22,"Michaud, Kristina",Member,To conduct constituency office business,2022/04/22,Trois-Rivières,Amqui,,,,,,,
T0227938,2022/04/24,2022/04/28,,,,,,,13477.1000,0.0000,310.0400,1.0000,0,0,13787.14
T0227938,2022/04/24,2022/04/28,"Michaud, Kristina",Member,To travel to/from constituency and Ottawa,2022/04/24,Mont-Joli,Ottawa,,,,,,,
T0227820,2022/04/24,2022/04/28,,,,,,,0.0000,130.6300,186.1500,0.0000,0,0,316.78
T0227820,2022/04/24,2022/04/28,"Francoeur, Ariane",Employee,To travel to/from constituency and Ottawa,2022/04/24,Mont-Joli,Ottawa,,,,,,,
T0227866,2022/04/24,2022/04/28,,,,,,,180.8900,0.0000,0.0000,0,0.0000,0,180.89
T0227866,2022/04/24,2022/04/28,"Francoeur, Ariane",Employee,To drive Member to/from terminal,2022/04/24,Gatineau,Gatineau,,,,,,,
T0227866,2022/04/24,2022/04/28,"Francoeur, Ariane",Employee,To represent the Member at an event,2022/04/25,Gatineau,Ottawa,,,,,,,
T0227938,2022/04/24,2022/04/28,"Michaud, Kristina",Member,To travel to/from constituency and Ottawa,2022/04/27,Ottawa,Mont-Joli,,,,,,,
