Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0221098,2021/09/27,2021/12/31,,,,,,,84.1800,0.0000,0.0000,0.0000,0,0,84.18
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend meetings about constituency issues,2021/09/27,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To conduct constituency office business,2021/11/09,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To conduct constituency office business,2021/11/09,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend a constituency or community event,2021/11/11,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend a constituency or community event,2021/11/11,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend meetings about constituency issues,2021/11/12,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend meetings about constituency issues,2021/11/12,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend a constituency or community event,2021/12/19,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend a constituency or community event,2021/12/19,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend meetings about constituency issues,2021/12/27,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend meetings about constituency issues,2021/12/27,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend meetings about constituency issues,2021/09/27,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend a constituency or community event,2021/09/28,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend a constituency or community event,2021/09/28,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend meetings about constituency issues,2021/09/28,Edmonton,Edmonton,,,,,,,
T0221098,2021/09/27,2021/12/31,"Aboultaif, Ziad",Member,To attend meetings about constituency issues,2021/09/28,Edmonton,Edmonton,,,,,,,
