Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0212489,2021/03/23,2021/04/23,,,,,,,0.0000,33.0300,0.0000,0,0,0,33.03
T0212489,2021/03/23,2021/04/23,"McPherson, Heather",Member,Secondary Residence,2021/03/23,Ottawa,Ottawa,,,,,,,
200488992,2021/04/01,2021/04/30,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.00
200488992,2021/04/01,2021/04/30,"McPherson, Heather",Member,Secondary Residence,2021/04/01,OTTAWA,OTTAWA,,,,,,,
T0211658,2021/04/04,2021/05/30,,,,,,,0.0000,47.4000,0.0000,0,0,0,47.40
T0211658,2021/04/04,2021/05/30,"McPherson, Heather",Member,Secondary Residence,2021/04/04,Ottawa,Ottawa,,,,,,,
T0213166,2021/04/23,2021/05/23,,,,,,,0.0000,32.9400,0.0000,0,0,0,32.94
T0213166,2021/04/23,2021/05/23,"McPherson, Heather",Member,Secondary Residence,2021/04/23,Ottawa,Ottawa,,,,,,,
200491907,2021/05/01,2021/05/31,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.00
200491907,2021/05/01,2021/05/31,"McPherson, Heather",Member,Secondary Residence,2021/05/01,OTTAWA,OTTAWA,,,,,,,
200498438,2021/06/01,2021/06/30,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.00
200498438,2021/06/01,2021/06/30,"McPherson, Heather",Member,Secondary Residence,2021/06/01,OTTAWA,OTTAWA,,,,,,,
T0213459,2021/06/06,2021/06/18,,,,,,,2352.6500,0.0000,774.0200,1.0000,0,0,3126.67
T0213459,2021/06/06,2021/06/18,"McPherson, Heather",Member,To travel to/from constituency and Ottawa,2021/06/06,Edmonton,Ottawa,,,,,,,
T0213459,2021/06/06,2021/06/18,"McPherson, Heather",Member,To travel to/from constituency and Ottawa,2021/06/18,Ottawa,Edmonton,,,,,,,
200503195,2021/07/01,2021/07/31,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.00
200503195,2021/07/01,2021/07/31,"McPherson, Heather",Member,Secondary Residence,2021/07/01,OTTAWA,OTTAWA,,,,,,,
