Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0214026,2021/05/19,2021/07/25,,,,,,,0.0000,163.3500,0.0000,0,0,0,163.35
T0214026,2021/05/19,2021/07/25,"Wong, Hon. Alice",Member,Secondary Residence,2021/06/26,Ottawa,Ottawa,,,,,,,
T0214026,2021/05/19,2021/07/25,"Wong, Hon. Alice",Member,Secondary Residence,2021/05/19,Ottawa,Ottawa,,,,,,,
T0214804,2021/06/18,2021/08/25,,,,,,,0.0000,165.4300,0.0000,0,0,0,165.43
T0214804,2021/06/18,2021/08/25,"Wong, Hon. Alice",Member,Secondary Residence,2021/07/26,Ottawa,Ottawa,,,,,,,
T0214804,2021/06/18,2021/08/25,"Wong, Hon. Alice",Member,Secondary Residence,2021/06/18,Ottawa,Ottawa,,,,,,,
T0215301,2021/06/29,2021/08/06,,,,,,,74.3400,0.0000,0.0000,0.0000,0.0000,0,74.34
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend a constituency or community event,2021/06/29,Richmond,Richmond,,,,,,,
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend meetings about constituency issues,2021/07/29,Richmond,Richmond,,,,,,,
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend a constituency or community event,2021/07/30,Richmond,Richmond,,,,,,,
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend a constituency or community event,2021/07/30,Richmond,Richmond,,,,,,,
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend meetings about constituency issues,2021/07/30,Richmond,Richmond,,,,,,,
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend meetings about constituency issues,2021/07/30,Richmond,Richmond,,,,,,,
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend a constituency or community event,2021/06/29,Richmond,Richmond,,,,,,,
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend an authorized funeral,2021/07/18,Richmond,Vancouver,,,,,,,
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend an authorized funeral,2021/07/18,Vancouver,Richmond,,,,,,,
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend meetings about constituency issues,2021/07/26,Richmond,Richmond,,,,,,,
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend meetings about constituency issues,2021/07/26,Richmond,Richmond,,,,,,,
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend a constituency or community event,2021/07/27,Richmond,Burnaby,,,,,,,
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend a constituency or community event,2021/07/27,Burnaby,Richmond,,,,,,,
T0215301,2021/06/29,2021/08/06,"Wong, Hon. Alice",Member,To attend meetings about constituency issues,2021/07/29,Richmond,Richmond,,,,,,,
T0215961,2021/07/19,2021/09/01,,,,,,,0.0000,52.5200,0.0000,0,0,0,52.52
T0215961,2021/07/19,2021/09/01,"Wong, Hon. Alice",Member,Secondary Residence,2021/07/19,Ottawa,Ottawa,,,,,,,
T0215961,2021/07/19,2021/09/01,"Wong, Hon. Alice",Member,Secondary Residence,2021/08/01,Ottawa,Ottawa,,,,,,,
200507738,2021/08/01,2021/08/31,,,,,,,0.0000,1788.0000,0.0000,0,0,0,1788.00
200507738,2021/08/01,2021/08/31,"Wong, Hon. Alice",Member,Secondary Residence,2021/08/01,OTTAWA,OTTAWA,,,,,,,
200515787,2021/09/01,2021/09/30,,,,,,,0.0000,1788.0000,0.0000,0,0,0,1788.00
200515787,2021/09/01,2021/09/30,"Wong, Hon. Alice",Member,Secondary Residence,2021/09/01,OTTAWA,OTTAWA,,,,,,,
200519964,2021/10/01,2021/10/31,,,,,,,0.0000,1788.0000,0.0000,0,0,0,1788.00
200519964,2021/10/01,2021/10/31,"Wong, Hon. Alice",Member,Secondary Residence,2021/10/01,OTTAWA,OTTAWA,,,,,,,
