Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0243067,2022/12/01,2022/12/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0243067,2022/12/01,2022/12/31,"Rodriguez, Hon. Pablo",Member,Secondary Residence,2022/12/01,Gatineau,Gatineau,,,,,,,
T0242046,2022/12/11,2022/12/15,,,,,,,0.0000,0.0000,427.6800,0.0000,0,0,427.68
T0242046,2022/12/11,2022/12/15,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2022/12/11,Montréal,Ottawa,,,,,,,
T0242046,2022/12/11,2022/12/15,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Montréal,,,,,,,
T0242042,2022/12/14,2022/12/14,,,,,,,220.0100,0.0000,0.0000,1.0000,0,0,220.01
T0242042,2022/12/14,2022/12/14,"Boisvert, Geneviève",Employee,To travel to/from constituency and Ottawa,2022/12/14,Montréal,Ottawa,,,,,,,
T0242042,2022/12/14,2022/12/14,"Boisvert, Geneviève",Employee,To travel to/from constituency and Ottawa,2022/12/14,Ottawa,Montréal,,,,,,,
T0242292,2022/12/14,2022/12/15,,,,,,,220.0100,235.2500,0.0000,1.0000,0,0,455.26
T0242292,2022/12/14,2022/12/15,"Marchetta, Lorrie",Employee,To travel to/from constituency and Ottawa,2022/12/14,Montréal,Ottawa,,,,,,,
T0242038,2022/12/14,2022/12/15,,,,,,,0.0000,235.2500,0.0000,0.0000,0,0,235.25
T0242038,2022/12/14,2022/12/15,"Hossain, Samiha",Employee,To travel to/from constituency and Ottawa,2022/12/14,Montréal,Ottawa,,,,,,,
T0242038,2022/12/14,2022/12/15,"Hossain, Samiha",Employee,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Montréal,,,,,,,
T0242292,2022/12/14,2022/12/15,"Marchetta, Lorrie",Employee,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Montréal,,,,,,,
T0244247,2023/01/01,2023/01/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0244247,2023/01/01,2023/01/31,"Rodriguez, Hon. Pablo",Member,Secondary Residence,2023/01/01,Gatineau,Gatineau,,,,,,,
T0243413,2023/01/10,2023/01/11,,,,,,,212.5900,0.0000,91.4700,1.0000,0,0,304.06
T0243413,2023/01/10,2023/01/11,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/01/10,Montréal,Ottawa,,,,,,,
T0243413,2023/01/10,2023/01/11,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/01/11,Ottawa,Montréal,,,,,,,
T0244099,2023/01/25,2023/01/28,,,,,,,0.0000,0.0000,284.7300,0.0000,0,0,284.73
T0244099,2023/01/25,2023/01/28,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/01/25,Montréal,Ottawa,,,,,,,
T0244099,2023/01/25,2023/01/28,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/01/28,Ottawa,Montréal,,,,,,,
T0244532,2023/01/30,2023/02/02,,,,,,,0.0000,0.0000,412.2300,0.0000,0,0,412.23
T0244532,2023/01/30,2023/02/02,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/01/30,Montréal,Ottawa,,,,,,,
T0244532,2023/01/30,2023/02/02,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/02/02,Ottawa,Montréal,,,,,,,
T0246475,2023/02/01,2023/02/28,,,,,,,0.0000,1400.0000,0.0000,0,0,0,1400.00
T0246475,2023/02/01,2023/02/28,"Rodriguez, Hon. Pablo",Member,Secondary Residence,2023/02/01,Gatineau,Gatineau,,,,,,,
T0245190,2023/02/05,2023/02/09,,,,,,,0.0000,0.0000,412.2300,0.0000,0,0,412.23
T0245190,2023/02/05,2023/02/09,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/02/05,Montréal,Ottawa,,,,,,,
T0245190,2023/02/05,2023/02/09,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/02/09,Ottawa,Montréal,,,,,,,
T0245686,2023/02/12,2023/02/16,,,,,,,0.0000,0.0000,477.9900,0.0000,0,0,477.99
T0245686,2023/02/12,2023/02/16,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/02/12,Montréal,Ottawa,,,,,,,
T0245686,2023/02/12,2023/02/16,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/02/16,Ottawa,Montréal,,,,,,,
T0246482,2023/02/19,2023/02/20,,,,,,,212.5900,247.6900,0.0000,1.0000,0,0,460.28
T0246482,2023/02/19,2023/02/20,"Boisvert, Geneviève",Employee,To travel to/from constituency and Ottawa,2023/02/19,Montréal,Ottawa,,,,,,,
T0246482,2023/02/19,2023/02/20,"Boisvert, Geneviève",Employee,To travel to/from constituency and Ottawa,2023/02/20,Ottawa,Montréal,,,,,,,
T0248809,2023/03/01,2023/03/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0248809,2023/03/01,2023/03/31,"Rodriguez, Hon. Pablo",Member,Secondary Residence,2023/03/01,Gatineau,Gatineau,,,,,,,
T0247054,2023/03/05,2023/03/09,,,,,,,0.0000,0.0000,412.2300,0.0000,0,0,412.23
T0247054,2023/03/05,2023/03/09,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/03/05,Montréal,Ottawa,,,,,,,
T0247054,2023/03/05,2023/03/09,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/03/09,Ottawa,Montréal,,,,,,,
T0247056,2023/03/10,2023/03/13,,,,,,,966.9800,0.0000,0.0000,0,1.0000,0,966.98
T0247056,2023/03/10,2023/03/13,,Designated Traveller,To unite the family with the Member,2023/03/10,Montréal,Edmonton,,,,,,,
T0247056,2023/03/10,2023/03/13,,Designated Traveller,To unite the family with the Member,2023/03/13,Edmonton,Montréal,,,,,,,
T0247911,2023/03/19,2023/03/24,,,,,,,0.0000,0.0000,514.0200,0.0000,0,0,514.02
T0247911,2023/03/19,2023/03/24,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/03/19,Montréal,Ottawa,,,,,,,
T0247911,2023/03/19,2023/03/24,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/03/24,Ottawa,Montréal,,,,,,,
T0248511,2023/03/27,2023/03/29,,,,,,,0.0000,0.0000,300.1800,0.0000,0,0,300.18
T0248511,2023/03/27,2023/03/29,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/03/27,Montréal,Ottawa,,,,,,,
T0248511,2023/03/27,2023/03/29,"Rodriguez, Hon. Pablo",Member,To travel to/from constituency and Ottawa,2023/03/29,Ottawa,Montréal,,,,,,,
