Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0221042,2021/11/16,2021/11/19,,,,,,,86.5600,0.0000,221.2900,1.0000,0,0,307.85
T0221042,2021/11/16,2021/11/19,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2021/11/16,Cornwall,Ottawa,,,,,,,
T0221042,2021/11/16,2021/11/19,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2021/11/19,Ottawa,Winchester,,,,,,,
T0221049,2021/11/19,2021/12/11,,,,,,,230.5100,0.0000,0.0000,0.0000,0,0,230.51
T0221049,2021/11/19,2021/12/11,"Duncan, Eric",Member,To attend a constituency or community event,2021/11/19,Winchester,Cornwall,,,,,,,
T0221049,2021/11/19,2021/12/11,"Duncan, Eric",Member,To attend a constituency or community event,2021/12/04,Cornwall,Morrisburg,,,,,,,
T0221049,2021/11/19,2021/12/11,"Duncan, Eric",Member,To attend a constituency or community event,2021/12/04,Morrisburg,Cornwall,,,,,,,
T0221049,2021/11/19,2021/12/11,"Duncan, Eric",Member,To attend a constituency or community event,2021/12/11,Cornwall,Toronto,,,,,,,
T0221049,2021/11/19,2021/12/11,"Duncan, Eric",Member,To attend a constituency or community event,2021/12/11,Toronto,Cornwall,,,,,,,
T0221043,2021/11/21,2021/11/26,,,,,,,103.8800,0.0000,404.4600,1.0000,0,0,508.34
T0221043,2021/11/21,2021/11/26,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2021/11/21,Cornwall,Ottawa,,,,,,,
T0221043,2021/11/21,2021/11/26,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2021/11/26,Ottawa,Cornwall,,,,,,,
T0221045,2021/11/28,2021/12/03,,,,,,,103.8800,0.0000,404.4600,1.0000,0,0,508.34
T0221045,2021/11/28,2021/12/03,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2021/11/28,Cornwall,Ottawa,,,,,,,
T0221045,2021/11/28,2021/12/03,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2021/12/03,Ottawa,Cornwall,,,,,,,
T0220204,2021/11/30,2021/11/30,,,,,,,-674.2100,0.0000,0.0000,-1.0000,0,0,-674.21
T0220204,2021/11/30,2021/11/30,"Duncan, Eric",Member,To attend meetings about constituency issues,2021/11/30,Ottawa,Toronto,,,,,,,
T0220204,2021/11/30,2021/11/30,"Duncan, Eric",Member,To attend meetings about constituency issues,2021/11/30,Toronto,Ottawa,,,,,,,
T0221377,2021/12/01,2021/12/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0221377,2021/12/01,2021/12/31,"Duncan, Eric",Member,Secondary Residence,2021/12/01,Ottawa,Ottawa,,,,,,,
T0221046,2021/12/05,2021/12/09,,,,,,,111.3000,0.0000,322.4100,1.0000,0,0,433.71
T0221046,2021/12/05,2021/12/09,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2021/12/05,Cornwall,Ottawa,,,,,,,
T0221046,2021/12/05,2021/12/09,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2021/12/09,Ottawa,Cornwall,,,,,,,
T0221048,2021/12/12,2021/12/16,,,,,,,103.8800,0.0000,404.4600,1.0000,0,0,508.34
T0221048,2021/12/12,2021/12/16,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2021/12/12,Cornwall,Ottawa,,,,,,,
T0221048,2021/12/12,2021/12/16,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2021/12/16,Ottawa,Cornwall,,,,,,,
T0222463,2022/01/01,2022/01/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0222463,2022/01/01,2022/01/31,"Duncan, Eric",Member,Secondary Residence,2022/01/01,Ottawa,Ottawa,,,,,,,
T0224569,2022/01/24,2022/01/28,,,,,,,123.6600,0.0000,373.5700,1.0000,0,0,497.23
T0224569,2022/01/24,2022/01/28,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2022/01/24,Cornwall,Ottawa,,,,,,,
T0224569,2022/01/24,2022/01/28,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2022/01/28,Ottawa,Cornwall,,,,,,,
T0224571,2022/01/30,2022/02/04,,,,,,,103.8800,0.0000,455.4000,1.0000,0,0,559.28
T0224571,2022/01/30,2022/02/04,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2022/01/30,Cornwall,Ottawa,,,,,,,
T0224571,2022/01/30,2022/02/04,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2022/02/04,Ottawa,Cornwall,,,,,,,
T0224560,2022/02/01,2022/02/28,,,,,,,0.0000,1400.0000,0.0000,0,0,0,1400.00
T0224560,2022/02/01,2022/02/28,"Duncan, Eric",Member,Secondary Residence,2022/02/01,Ottawa,Ottawa,,,,,,,
T0224573,2022/02/06,2022/02/10,,,,,,,103.8800,0.0000,382.3200,1.0000,0,0,486.20
T0224573,2022/02/06,2022/02/10,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2022/02/06,Cornwall,Ottawa,,,,,,,
T0224573,2022/02/06,2022/02/10,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2022/02/10,Ottawa,Cornwall,,,,,,,
T0223340,2022/02/11,2022/02/13,,,,,,,45.5400,413.6600,186.7900,0.0000,0,0,645.99
T0223340,2022/02/11,2022/02/13,"Duncan, Eric",Member,To attend meetings with stakeholders about business of the House,2022/02/11,Ottawa,Toronto,,,,,,,
T0223340,2022/02/11,2022/02/13,"Duncan, Eric",Member,To attend meetings with stakeholders about business of the House,2022/02/13,Toronto,Ottawa,,,,,,,
T0224574,2022/02/13,2022/02/21,,,,,,,51.9400,0.0000,654.7800,0.5000,0,0,706.72
T0224574,2022/02/13,2022/02/21,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2022/02/13,Cornwall,Ottawa,,,,,,,
T0224574,2022/02/13,2022/02/21,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2022/02/21,Ottawa,Cornwall,,,,,,,
T0224593,2022/02/24,2022/02/27,,,,,,,121.6800,0.0000,0.0000,0.0000,0,0,121.68
T0224593,2022/02/24,2022/02/27,"Duncan, Eric",Member,To attend meetings about constituency issues,2022/02/24,Cornwall,Alexandria,,,,,,,
T0224593,2022/02/24,2022/02/27,"Duncan, Eric",Member,To attend meetings about constituency issues,2022/02/24,Alexandria,Cornwall,,,,,,,
T0224593,2022/02/24,2022/02/27,"Duncan, Eric",Member,To attend meetings about constituency issues,2022/02/25,Cornwall,Iroquois,,,,,,,
T0224593,2022/02/24,2022/02/27,"Duncan, Eric",Member,To attend meetings about constituency issues,2022/02/25,Iroquois,Cornwall,,,,,,,
T0224593,2022/02/24,2022/02/27,"Duncan, Eric",Member,To attend meetings about constituency issues,2022/02/27,Cornwall,Williamstown,,,,,,,
T0224593,2022/02/24,2022/02/27,"Duncan, Eric",Member,To attend meetings about constituency issues,2022/02/27,Williamstown,Cornwall,,,,,,,
T0224575,2022/02/27,2022/03/03,,,,,,,103.8800,0.0000,247.1600,1.0000,0,0,351.04
T0224575,2022/02/27,2022/03/03,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2022/02/27,Cornwall,Ottawa,,,,,,,
T0224575,2022/02/27,2022/03/03,"Duncan, Eric",Member,To travel to/from constituency and Ottawa,2022/03/03,Ottawa,Cornwall,,,,,,,
T0224994,2022/03/22,2022/03/22,,,,,,,84.1400,0.0000,0.0000,1.0000,0,0,84.14
T0224994,2022/03/22,2022/03/22,"Bugelli, Adrian",Employee,To travel to/from constituency and Ottawa,2022/03/22,Finch,Ottawa,,,,,,,
T0224994,2022/03/22,2022/03/22,"Bugelli, Adrian",Employee,To travel to/from constituency and Ottawa,2022/03/22,Ottawa,Finch,,,,,,,
