Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0243078,2022/08/01,2023/01/01,,,,,,,147.3900,0.0000,0.0000,0.0000,0,0,147.39
T0243078,2022/08/01,2023/01/01,"Fillmore, Andy",Member,To conduct constituency office business,2022/11/05,Halifax,Halifax,,,,,,,
T0243078,2022/08/01,2023/01/01,"Fillmore, Andy",Member,To attend a constituency or community event,2022/11/13,Halifax,Halifax,,,,,,,
T0243078,2022/08/01,2023/01/01,"Fillmore, Andy",Member,To conduct constituency office business,2022/11/20,Halifax,Halifax,,,,,,,
T0243078,2022/08/01,2023/01/01,"Fillmore, Andy",Member,To attend a constituency or community event,2022/11/27,Halifax,Halifax,,,,,,,
T0243078,2022/08/01,2023/01/01,"Fillmore, Andy",Member,To attend a constituency or community event,2022/12/22,Halifax,Halifax,,,,,,,
T0243078,2022/08/01,2023/01/01,"Fillmore, Andy",Member,To attend a constituency or community event,2022/12/23,Halifax,Halifax,,,,,,,
T0243078,2022/08/01,2023/01/01,"Fillmore, Andy",Member,To attend a constituency or community event,2022/10/08,Halifax,Halifax,,,,,,,
T0243078,2022/08/01,2023/01/01,"Fillmore, Andy",Member,To attend meetings with stakeholders about business of the House,2022/08/04,Halifax,Halifax,,,,,,,
T0243077,2022/09/24,2022/10/25,,,,,,,0.0000,36.9000,0.0000,0,0,0,36.90
T0243077,2022/09/24,2022/10/25,"Fillmore, Andy",Member,Secondary Residence,2022/09/24,Ottawa,Ottawa,,,,,,,
T0247817,2022/10/01,2023/03/31,,,,,,,0.0000,144.8800,0.0000,0,0,0,144.88
T0247817,2022/10/01,2023/03/31,"Fillmore, Andy",Member,Secondary Residence,2022/11/24,Ottawa,Ottawa,,,,,,,
T0247817,2022/10/01,2023/03/31,"Fillmore, Andy",Member,Secondary Residence,2022/10/31,Ottawa,Ottawa,,,,,,,
T0247817,2022/10/01,2023/03/31,"Fillmore, Andy",Member,Secondary Residence,2023/01/25,Ottawa,Ottawa,,,,,,,
T0247817,2022/10/01,2023/03/31,"Fillmore, Andy",Member,Secondary Residence,2022/12/24,Ottawa,Ottawa,,,,,,,
T0248208,2022/10/28,2023/03/28,,,,,,,131.7200,0.0000,0.0000,0.0000,0,0,131.72
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2022/10/28,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2023/01/06,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2023/01/17,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2023/01/18,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2023/01/19,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2023/01/24,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2023/01/25,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2023/02/22,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2023/02/23,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2023/02/28,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2023/03/17,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2022/11/09,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2023/01/20,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2023/02/27,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2022/11/10,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2022/11/18,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2022/12/19,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2022/12/20,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2022/12/22,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2022/12/29,Halifax,Halifax,,,,,,,
T0248208,2022/10/28,2023/03/28,"Fillmore, Andy",Member,To conduct constituency office business,2023/01/04,Halifax,Halifax,,,,,,,
T0243127,2022/11/01,2022/12/31,,,,,,,57.3300,0.0000,0.0000,0,0.0000,0,57.33
T0243127,2022/11/01,2022/12/31,"Fillmore, Andy",Member,To attend meetings with stakeholders about business of the House,2022/11/03,Ottawa,Ottawa,,,,,,,
T0243127,2022/11/01,2022/12/31,"Fillmore, Andy",Member,To attend meetings with stakeholders about business of the House,2022/12/13,Ottawa,Ottawa,,,,,,,
T0243127,2022/11/01,2022/12/31,"Fillmore, Andy",Member,To attend meetings with stakeholders about business of the House,2022/12/14,Ottawa,Ottawa,,,,,,,
T0243076,2022/11/11,2023/01/10,,,,,,,0.0000,130.0000,0.0000,0,0,0,130.00
T0243076,2022/11/11,2023/01/10,"Fillmore, Andy",Member,Secondary Residence,2022/11/11,Ottawa,Ottawa,,,,,,,
T0243076,2022/11/11,2023/01/10,"Fillmore, Andy",Member,Secondary Residence,2022/12/11,Ottawa,Ottawa,,,,,,,
T0239552,2022/11/20,2022/11/25,,,,,,,1211.1700,0.0000,641.5200,1.0000,0,0,1852.69
T0239552,2022/11/20,2022/11/25,"Fillmore, Andy",Member,To travel to/from constituency and Ottawa,2022/11/20,Halifax,Ottawa,,,,,,,
T0239552,2022/11/20,2022/11/25,"Fillmore, Andy",Member,To travel to/from constituency and Ottawa,2022/11/25,Ottawa,Halifax,,,,,,,
T0239554,2022/11/27,2022/12/02,,,,,,,1212.0900,0.0000,641.5200,1.0000,0,0,1853.61
T0239554,2022/11/27,2022/12/02,"Fillmore, Andy",Member,To travel to/from constituency and Ottawa,2022/11/27,Halifax,Ottawa,,,,,,,
T0239554,2022/11/27,2022/12/02,"Fillmore, Andy",Member,To travel to/from constituency and Ottawa,2022/12/02,Ottawa,Halifax,,,,,,,
T0247452,2022/12/01,2023/03/27,,,,,,,69.7600,0.0000,0.0000,0.0000,0,0,69.76
T0247452,2022/12/01,2023/03/27,"Macrae, Joanne",Employee,To conduct constituency office business,2023/03/11,Halifax,Halifax,,,,,,,
T0247452,2022/12/01,2023/03/27,"Macrae, Joanne",Employee,To conduct constituency office business,2023/02/09,Halifax,Halifax,,,,,,,
T0247452,2022/12/01,2023/03/27,"Macrae, Joanne",Employee,To conduct constituency office business,2023/03/01,Halifax,Halifax,,,,,,,
T0247452,2022/12/01,2023/03/27,"Macrae, Joanne",Employee,To conduct constituency office business,2023/01/09,Halifax,Halifax,,,,,,,
T0247452,2022/12/01,2023/03/27,"Macrae, Joanne",Employee,To conduct constituency office business,2023/01/13,Halifax,Halifax,,,,,,,
T0247452,2022/12/01,2023/03/27,"Macrae, Joanne",Employee,To conduct constituency office business,2023/01/16,Halifax,Halifax,,,,,,,
T0247452,2022/12/01,2023/03/27,"Macrae, Joanne",Employee,To attend a constituency or community event,2023/01/20,Halifax,Halifax,,,,,,,
T0247452,2022/12/01,2023/03/27,"Macrae, Joanne",Employee,To conduct constituency office business,2023/01/23,Halifax,Halifax,,,,,,,
T0247452,2022/12/01,2023/03/27,"Macrae, Joanne",Employee,To conduct constituency office business,2023/01/24,Halifax,Halifax,,,,,,,
T0247452,2022/12/01,2023/03/27,"Macrae, Joanne",Employee,To conduct constituency office business,2023/01/25,Halifax,Halifax,,,,,,,
T0247452,2022/12/01,2023/03/27,"Macrae, Joanne",Employee,To conduct constituency office business,2023/01/26,Halifax,Halifax,,,,,,,
T0239570,2022/12/04,2022/12/10,,,,,,,1284.3500,106.2800,641.5200,1.0000,0,0,2032.15
T0239570,2022/12/04,2022/12/10,"Fillmore, Andy",Member,To travel to/from constituency and Ottawa,2022/12/10,Ottawa,Halifax,,,,,,,
T0239570,2022/12/04,2022/12/10,"Fillmore, Andy",Member,To travel to/from constituency and Ottawa,2022/12/04,Halifax,Ottawa,,,,,,,
T0239570,2022/12/04,2022/12/10,"Fillmore, Andy",Member,To travel to/from constituency and Ottawa,2022/12/09,Ottawa,Halifax,,,,,,,
T0239572,2022/12/11,2022/12/16,,,,,,,1115.4400,0.0000,534.6000,1.0000,0,0,1650.04
T0239572,2022/12/11,2022/12/16,"Fillmore, Andy",Member,To travel to/from constituency and Ottawa,2022/12/11,Halifax,Ottawa,,,,,,,
T0239572,2022/12/11,2022/12/16,"Fillmore, Andy",Member,To travel to/from constituency and Ottawa,2022/12/16,Ottawa,Halifax,,,,,,,
T0242931,2022/12/13,2022/12/16,,,,,,,876.9900,0.0000,427.6800,1.0000,0,0,1304.67
T0242931,2022/12/13,2022/12/16,"Lambert, Mackenzie",Employee,To travel to/from constituency and Ottawa,2022/12/13,Halifax,Ottawa,,,,,,,
T0242935,2022/12/13,2022/12/16,,,,,,,0.0000,599.4700,0.0000,0.0000,0,0,599.47
