Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0221779,2021/12/05,2021/12/17,,,,,,,1386.5300,1621.3500,1129.1500,1.0000,0,0,4137.03
T0221779,2021/12/05,2021/12/17,"Kram, Michael",Member,To travel to/from constituency and Ottawa,2021/12/05,Regina,Ottawa,,,,,,,
T0221779,2021/12/05,2021/12/17,"Kram, Michael",Member,To travel to/from constituency and Ottawa,2021/12/17,Ottawa,Regina,,,,,,,
T0224306,2022/01/25,2022/02/12,,,,,,,1668.8500,2508.9300,1161.0300,1.0000,0,0,5338.81
T0224306,2022/01/25,2022/02/12,"Kram, Michael",Member,To travel to/from constituency and Ottawa,2022/01/25,Regina,Ottawa,,,,,,,
T0224306,2022/01/25,2022/02/12,"Kram, Michael",Member,To travel to/from constituency and Ottawa,2022/02/11,Ottawa,Regina,,,,,,,
T0225231,2022/02/13,2022/02/22,,,,,,,1319.0400,1507.3200,767.1900,1.0000,0,0,3593.55
T0225231,2022/02/13,2022/02/22,"Kram, Michael",Member,To travel to/from constituency and Ottawa,2022/02/13,Regina,Ottawa,,,,,,,
T0225231,2022/02/13,2022/02/22,"Kram, Michael",Member,To travel to/from constituency and Ottawa,2022/02/22,Ottawa,Regina,,,,,,,
T0225250,2022/02/27,2022/03/03,,,,,,,1293.9800,585.0900,323.3900,1.0000,0,0,2202.46
T0225250,2022/02/27,2022/03/03,"Kram, Michael",Member,To travel to/from constituency and Ottawa,2022/02/27,Regina,Ottawa,,,,,,,
T0225250,2022/02/27,2022/03/03,"Kram, Michael",Member,To travel to/from constituency and Ottawa,2022/03/03,Ottawa,Regina,,,,,,,
T0226769,2022/03/20,2022/04/08,,,,,,,1287.4100,2854.9800,1708.3500,1.0000,0,0,5850.74
T0226769,2022/03/20,2022/04/08,"Kram, Michael",Member,To travel to/from constituency and Ottawa,2022/03/20,Regina,Ottawa,,,,,,,
T0226769,2022/03/20,2022/04/08,"Kram, Michael",Member,To travel to/from constituency and Ottawa,2022/04/08,Ottawa,Regina,,,,,,,
