Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0217978,2021/10/22,2021/10/24,,,,,,,2617.6800,0.0000,0.0000,0,1.0000,0,2617.68
T0217978,2021/10/22,2021/10/24,"Sarai, Randeep",Member,To attend an event as a matter of protocol,2021/10/22,Surrey,Winnipeg,,,,,,,
T0217978,2021/10/22,2021/10/24,"Sarai, Randeep",Member,To attend an event as a matter of protocol,2021/10/24,Winnipeg,Surrey,,,,,,,
T0217969,2021/10/26,2021/10/30,,,,,,,6629.2000,0.0000,0.0000,5.0000,0,0,6629.20
T0217969,2021/10/26,2021/10/30,"Sarai, Randeep",Member,To travel to/from constituency and Ottawa,2021/10/26,Surrey,Ottawa,,,,,,,
T0217969,2021/10/26,2021/10/30,,Dependant,To travel to/from constituency and Ottawa,2021/10/30,Ottawa,Surrey,,,,,,,
T0217969,2021/10/26,2021/10/30,"Sarai, Randeep",Member,To travel to/from constituency and Ottawa,2021/10/30,Ottawa,Surrey,,,,,,,
T0217969,2021/10/26,2021/10/30,,Designated Traveller,To travel to/from constituency and Ottawa,2021/10/26,Surrey,Ottawa,,,,,,,
T0217969,2021/10/26,2021/10/30,,Designated Traveller,To travel to/from constituency and Ottawa,2021/10/30,Ottawa,Surrey,,,,,,,
T0217969,2021/10/26,2021/10/30,,Dependant,To travel to/from constituency and Ottawa,2021/10/26,Surrey,Ottawa,,,,,,,
T0217969,2021/10/26,2021/10/30,,Dependant,To travel to/from constituency and Ottawa,2021/10/30,Ottawa,Surrey,,,,,,,
T0217969,2021/10/26,2021/10/30,,Dependant,To travel to/from constituency and Ottawa,2021/10/28,Surrey,Ottawa,,,,,,,
T0217969,2021/10/26,2021/10/30,,Dependant,To travel to/from constituency and Ottawa,2021/10/30,Ottawa,Surrey,,,,,,,
T0217969,2021/10/26,2021/10/30,,Dependant,To travel to/from constituency and Ottawa,2021/10/28,Surrey,Ottawa,,,,,,,
200524118,2021/11/01,2021/11/30,,,,,,,0.0000,2200.0000,0.0000,0,0,0,2200.00
200524118,2021/11/01,2021/11/30,"Sarai, Randeep",Member,Secondary Residence,2021/11/01,OTTAWA,OTTAWA,,,,,,,
T0217982,2021/11/07,2021/11/09,,,,,,,2209.2800,0.0000,171.3400,1.0000,0,0,2380.62
T0217982,2021/11/07,2021/11/09,"Sarai, Randeep",Member,To travel to/from constituency and Ottawa,2021/11/07,Surrey,Ottawa,,,,,,,
T0217982,2021/11/07,2021/11/09,"Sarai, Randeep",Member,To travel to/from constituency and Ottawa,2021/11/09,Ottawa,Surrey,,,,,,,
T0218877,2021/11/14,2021/11/19,,,,,,,50.6600,0.0000,0.0000,0,0.0000,0,50.66
T0218877,2021/11/14,2021/11/19,"Sarai, Randeep",Member,To attend a constituency or community event,2021/11/16,Surrey,Vancouver,,,,,,,
T0218877,2021/11/14,2021/11/19,"Sarai, Randeep",Member,To travel to/from constituency and Ottawa,2021/11/16,Vancouver,Surrey,,,,,,,
T0218905,2021/11/21,2021/11/26,,,,,,,2359.3100,0.0000,361.7400,1.0000,0,0,2721.05
T0218905,2021/11/21,2021/11/26,"Sarai, Randeep",Member,To travel to/from constituency and Ottawa,2021/11/21,Surrey,Ottawa,,,,,,,
T0218905,2021/11/21,2021/11/26,"Sarai, Randeep",Member,To travel to/from constituency and Ottawa,2021/11/26,Ottawa,Surrey,,,,,,,
T0219454,2021/11/28,2021/12/03,,,,,,,2330.7400,0.0000,361.7400,1.0000,0,0,2692.48
T0219454,2021/11/28,2021/12/03,"Sarai, Randeep",Member,To travel to/from constituency and Ottawa,2021/11/28,Surrey,Ottawa,,,,,,,
T0219454,2021/11/28,2021/12/03,"Sarai, Randeep",Member,To travel to/from constituency and Ottawa,2021/12/03,Ottawa,Surrey,,,,,,,
200530363,2021/12/01,2021/12/31,,,,,,,0.0000,2200.0000,0.0000,0,0,0,2200.00
200530363,2021/12/01,2021/12/31,"Sarai, Randeep",Member,Secondary Residence,2021/12/01,OTTAWA,OTTAWA,,,,,,,
T0220596,2021/12/05,2021/12/11,,,,,,,2330.7400,0.0000,361.7400,1.0000,0,0,2692.48
T0220596,2021/12/05,2021/12/11,"Sarai, Randeep",Member,To travel to/from constituency and Ottawa,2021/12/05,Surrey,Ottawa,,,,,,,
T0220596,2021/12/05,2021/12/11,"Sarai, Randeep",Member,To travel to/from constituency and Ottawa,2021/12/10,Ottawa,Surrey,,,,,,,
200538556,2022/01/01,2022/01/31,,,,,,,0.0000,2200.0000,0.0000,0,0,0,2200.00
200538556,2022/01/01,2022/01/31,"Sarai, Randeep",Member,Secondary Residence,2022/01/01,OTTAWA,OTTAWA,,,,,,,
