Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0211987,2021/02/24,2021/03/25,,,,,,,0.0000,39.0200,0.0000,0,0,0,39.02
T0211987,2021/02/24,2021/03/25,"Ng, Hon. Mary",Member,Secondary Residence,2021/02/24,Ottawa,Ottawa,,,,,,,
T0213183,2021/03/25,2021/04/25,,,,,,,0.0000,33.2700,0.0000,0,0,0,33.27
T0213183,2021/03/25,2021/04/25,"Ng, Hon. Mary",Member,Secondary Residence,2021/03/25,Ottawa,Ottawa,,,,,,,
T0212650,2021/03/25,2021/04/25,,,,,,,0.0000,33.2700,0.0000,0,0,0,33.27
T0212650,2021/03/25,2021/04/25,"Ng, Hon. Mary",Member,Secondary Residence,2021/03/25,Ottawa,Ottawa,,,,,,,
200488998,2021/04/01,2021/04/30,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.00
200488998,2021/04/01,2021/04/30,"Ng, Hon. Mary",Member,Secondary Residence,2021/04/01,OTTAWA,OTTAWA,,,,,,,
200491913,2021/05/01,2021/05/31,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.00
200491913,2021/05/01,2021/05/31,"Ng, Hon. Mary",Member,Secondary Residence,2021/05/01,OTTAWA,OTTAWA,,,,,,,
200498444,2021/06/01,2021/06/30,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.00
200498444,2021/06/01,2021/06/30,"Ng, Hon. Mary",Member,Secondary Residence,2021/06/01,OTTAWA,OTTAWA,,,,,,,
200503201,2021/07/01,2021/07/31,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.00
200503201,2021/07/01,2021/07/31,"Ng, Hon. Mary",Member,Secondary Residence,2021/07/01,OTTAWA,OTTAWA,,,,,,,
