Supplier,Description,Date,Total
GoDaddy.com,Web Site Hosting/Domain Name,2020/07/28,50.48
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/09/01,25.50
BELL CANADA,Cable and Internet Fees,2020/09/06,147.90
Hootsuite,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/11,68.85
"The Globe and Mail ","Printed Matter, Books, Newspapers and Subscriptions",2020/09/18,27.96
Dvine Laboratories Inc.,Consumable Items for Constituency Offices (COVID19),2020/09/22,87.84
Hydro One,Public Utilities,2020/09/22,75.89
"Hydro One ",Public Utilities,2020/09/22,84.47
AMAZON,Photographic Equipment,2020/09/24,101.99
AMAZON,Voice Communication Equipment,2020/09/24,25.99
AMAZON,Computer Equipment,2020/09/24,244.00
AMAZON,Photographic Equipment,2020/09/24,137.98
"AMAZON ",Photographic Equipment,2020/09/24,99.98
"AMAZON ",Photographic Equipment,2020/09/24,29.00
"Computer Smart ",Service and/or Equipment Changes,2020/09/25,140.00
"The Globe and Mail ","Printed Matter, Books, Newspapers and Subscriptions",2020/09/25,27.96
"Staples Canada ","Office Supplies, Stationery and Accessories",2020/09/26,109.14
"Staples Canada ",Computer Equipment,2020/09/26,89.99
TRI CARE CLEANING SPECIALISTS SANITATION SUPPLIES,Janitorial Services and Maintenance,2020/09/28,200.00
Canada Computers,"Office Supplies, Stationery and Accessories",2020/09/29,6.49
Canada Computers,"Television, Video and Fax",2020/09/29,189.99
"McLaughlin Plaza ",Public Utilities,2020/09/29,58.48
"PORTAGE LA PRAIRIE MUTUAL INSURANCE COMPANY, THE",Constituency Office Insurance,2020/09/29,560.00
Grand & Toy,Office Furniture and Fixtures,2020/09/30,202.21
Grand & Toy,Cleaning Products,2020/09/30,17.46
Grand & Toy,Bulk Paper Purchases,2020/09/30,134.10
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/09/30,169.60
Grand & Toy,"Freight, Express and Cartage",2020/09/30,62.83
Home Hardware,Cleaning Products,2020/09/30,13.98
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,146.01
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,5.60
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/10/01,52.40
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,194.00
"Home Hardware ",Cleaning Products,2020/10/01,20.97
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/10/01,25.50
Winners,Office Plants and Flowers,2020/10/01,39.99
Winners,Office Plants and Flowers,2020/10/01,19.99
Winners,Office Furniture and Fixtures,2020/10/01,79.99
ZOOM,Licence Renewal,2020/10/01,186.00
BELL CANADA,Cable and Internet Fees,2020/10/06,147.90
"Best Buy ",Toner,2020/10/06,74.99
DYSON ALARM TECH SYSTEMS,Protection and Alarm Monitoring (Member's Office Budget),2020/10/06,276.00
Wayfair,Office Furniture and Fixtures,2020/10/06,56.98
SHUTTERSTOCK,Photography and Video Services,2020/10/07,39.67
Home Hardware,Office Renovations,2020/10/09,37.43
"Staples Canada ","Office Supplies, Stationery and Accessories",2020/10/09,79.98
"Canadian Tire ",Office Renovations,2020/10/10,25.97
Home Hardware,"Office Supplies, Stationery and Accessories",2020/10/10,6.20
HOOTSUITE,"Printed Matter, Books, Newspapers and Subscriptions",2020/10/11,68.85
"Canadian Tire ","Office Supplies, Stationery and Accessories",2020/10/20,94.95
AUTO TRIM & SIGNS,Advertising,2020/10/22,280.00
Hydro One,Public Utilities,2020/10/22,41.79
"Hydro One ",Public Utilities,2020/10/22,106.30
Tekrider.com,Promotional Items,2020/10/22,750.00
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2020/10/25,53.02
"Walmart ",Cleaning Products,2020/10/25,30.88
Staples Canada,"Office Supplies, Stationery and Accessories",2020/10/26,187.70
TRI CARE CLEANING SPECIALISTS SANITATION SUPPLIES,Janitorial Services and Maintenance,2020/10/26,200.00
Staples Canada,"Office Supplies, Stationery and Accessories",2020/10/27,51.98
"The Globe and Mail ","Printed Matter, Books, Newspapers and Subscriptions",2020/10/27,55.92
Staples Canada,Voice Communication Equipment,2020/10/28,59.99
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/10/31,112.11
SHRED IT,Shredding,2020/10/31,118.15
1023283 ONTARIO INC.,Office Rental and Related Fees,2020/11/01,1700.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/11/01,37.60
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,194.00
FACEBOOK,Advertising,2020/11/01,17.95
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/11/01,25.50
ZOOM Video Communications Inc.,Licence Renewal,2020/11/01,186.00
The Kawartha Promoter,Advertising,2020/11/04,40.00
"Haliburton County Echo ",Advertising,2020/11/05,50.00
The Highlander,Advertising,2020/11/05,129.00
The Standard News Corp.,Advertising,2020/11/05,135.00
"Bell Canada ",Cable and Internet Fees,2020/11/06,147.90
FACEBOOK,Advertising,2020/11/06,100.00
Star Metroland Media,Advertising,2020/11/08,468.00
Canada Post – Postes Canada,"Freight, Express and Cartage",2020/11/10,7.85
"Hootsuite ",Licence Renewal,2020/11/11,68.17
FACEBOOK,Advertising,2020/11/12,100.00
RBC,Banking Fees and Cheque Orders,2020/11/12,15.95
FACEBOOK,Advertising,2020/11/13,150.00
FACEBOOK,Advertising,2020/11/14,200.00
FACEBOOK,Advertising,2020/11/15,141.35
Staples Canada,"Office Supplies, Stationery and Accessories",2020/11/16,138.42
Dollarama,"Office Supplies, Stationery and Accessories",2020/11/20,9.05
Hydro One,Public Utilities,2020/11/20,97.26
Hydro One,Public Utilities,2020/11/20,181.61
FACEBOOK,Advertising,2020/11/22,300.00
"The Globe and Mail ","Printed Matter, Books, Newspapers and Subscriptions",2020/11/22,27.96
TRI CARE CLEANING SPECIALISTS SANITATION SUPPLIES,Janitorial Services and Maintenance,2020/11/29,250.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/11/30,25.30
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/11/30,84.43
Grand & Toy,Cleaning products,2020/11/30,28.02
1023283 ONTARIO INC.,Office Rental and Related Fees,2020/12/01,1700.00
"Zoom ",Licence Renewal,2020/12/01,186.00
Staples,"Office Supplies, Stationery and Accessories",2020/12/02,46.97
Staples,"Office Supplies, Stationery and Accessories",2020/12/02,9.99
Canadian Tire,Cleaning Products,2020/12/03,43.97
Kawartha 411,Advertising,2020/12/04,250.00
BELL CANADA,Cable and Internet Fees,2020/12/06,147.90
