Supplier,Description,Date,Total
VERMILION VOICE LTD.,Advertising,2021/08/31,257.25
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,1.53
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,105.08
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/10/01,16.79
Canada Post – Postes Canada,Courier Services,2021/10/07,20.35
VERMILION VOICE LTD.,Advertising,2021/10/25,257.25
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,186.85
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,8.00
Mexican Family Store Ltd.,Office Rental and Related Fees,2021/11/01,1925.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/11/01,16.79
Canada Post – Postes Canada,"Postage, Parcel Post and Courier Services",2021/11/12,329.57
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,186.85
Grand & Toy,"Freight, Express and Cartage",2021/11/30,76.11
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/11/30,2255.53
Grand & Toy,Cleaning Products,2021/11/30,146.34
"Great West Media, LP",Advertising,2021/11/30,355.00
"Great West Media, LP",Advertising,2021/11/30,230.00
VERMILION VOICE LTD.,Advertising,2021/11/30,152.25
Mexican Family Store Ltd.,Office Rental and Related Fees,2021/12/01,1925.00
Canada Post – Postes Canada,Courier Services,2021/12/17,23.05
Canada Post – Postes Canada,Courier Services,2021/12/17,26.26
Mexican Family Store Ltd.,Office Rental and Related Fees,2022/01/01,1925.00
