Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0231959,2022/05/12,2022/06/20,,,,,,,0.0000,187.5300,0.0000,0,0,0,187.53
T0231959,2022/05/12,2022/06/20,"Petitpas Taylor, Hon. Ginette",Member,Secondary Residence,2022/05/12,Ottawa,Ottawa,,,,,,,
T0231959,2022/05/12,2022/06/20,"Petitpas Taylor, Hon. Ginette",Member,Secondary Residence,2022/05/21,Ottawa,Ottawa,,,,,,,
T0231049,2022/06/05,2022/06/09,,,,,,,637.3200,0.0000,364.8200,0.5000,0,0,1002.14
T0231049,2022/06/05,2022/06/09,"Petitpas Taylor, Hon. Ginette",Member,To travel to/from constituency and Ottawa,2022/06/05,Moncton,Ottawa,,,,,,,
T0233590,2022/06/11,2022/07/20,,,,,,,0.0000,190.2900,0.0000,0,0,0,190.29
T0233590,2022/06/11,2022/07/20,"Petitpas Taylor, Hon. Ginette",Member,Secondary Residence,2022/06/11,Ottawa,Ottawa,,,,,,,
T0233590,2022/06/11,2022/07/20,"Petitpas Taylor, Hon. Ginette",Member,Secondary Residence,2022/06/21,Ottawa,Ottawa,,,,,,,
T0231057,2022/06/13,2022/06/17,,,,,,,656.0000,0.0000,501.2900,1.0000,0,0,1157.29
T0231057,2022/06/13,2022/06/17,"Petitpas Taylor, Hon. Ginette",Member,To travel to/from constituency and Ottawa,2022/06/13,Moncton,Ottawa,,,,,,,
T0231057,2022/06/13,2022/06/17,"Petitpas Taylor, Hon. Ginette",Member,To travel to/from constituency and Ottawa,2022/06/17,Ottawa,Moncton,,,,,,,
T0233173,2022/06/16,2022/06/17,,,,,,,691.7100,278.9200,191.2500,1.0000,0,0,1161.88
T0233173,2022/06/16,2022/06/17,"Gaudet, Nicholas",Employee,To travel to/from constituency and Ottawa,2022/06/16,Moncton,Ottawa,,,,,,,
T0233173,2022/06/16,2022/06/17,"Gaudet, Nicholas",Employee,To travel to/from constituency and Ottawa,2022/06/17,Ottawa,Moncton,,,,,,,
T0231711,2022/06/19,2022/06/29,,,,,,,808.8500,304.1700,875.3600,1.0000,0,0,1988.38
T0231711,2022/06/19,2022/06/29,"Petitpas Taylor, Hon. Ginette",Member,To travel to/from constituency and Ottawa,2022/06/19,Moncton,Ottawa,,,,,,,
T0231711,2022/06/19,2022/06/29,"Petitpas Taylor, Hon. Ginette",Member,To travel to/from constituency and Ottawa,2022/06/29,Ottawa,Moncton,,,,,,,
200582484,2022/07/01,2022/07/31,,,,,,,0.0000,1527.3600,0.0000,0,0,0,1527.36
200582484,2022/07/01,2022/07/31,"Petitpas Taylor, Hon. Ginette",Member,Secondary Residence,2022/07/01,OTTAWA,OTTAWA,,,,,,,
T0233698,2022/07/23,2022/08/08,,,,,,,118.2400,0.0000,0.0000,0.0000,0.0000,0,118.24
T0233698,2022/07/23,2022/08/08,"Petitpas Taylor, Hon. Ginette",Member,To participate in a government program initiative,2022/07/23,Moncton,Buctouche-Sud,,,,,,,
T0233698,2022/07/23,2022/08/08,"Petitpas Taylor, Hon. Ginette",Member,To attend a constituency or community event,2022/08/01,Moncton,Moncton,,,,,,,
T0233698,2022/07/23,2022/08/08,"Petitpas Taylor, Hon. Ginette",Member,To participate in a government program initiative,2022/07/23,Buctouche-Sud,Moncton,,,,,,,
T0233698,2022/07/23,2022/08/08,"Petitpas Taylor, Hon. Ginette",Member,To attend meetings about constituency issues,2022/08/08,Moncton,Cap-Pelé,,,,,,,
T0233698,2022/07/23,2022/08/08,"Petitpas Taylor, Hon. Ginette",Member,To attend meetings about constituency issues,2022/08/08,Cap-Pelé,Moncton,,,,,,,
200590111,2022/08/01,2022/08/31,,,,,,,0.0000,1527.3600,0.0000,0,0,0,1527.36
200590111,2022/08/01,2022/08/31,"Petitpas Taylor, Hon. Ginette",Member,Secondary Residence,2022/08/01,OTTAWA,OTTAWA,,,,,,,
200600143,2022/09/01,2022/09/30,,,,,,,0.0000,1527.3600,0.0000,0,0,0,1527.36
200600143,2022/09/01,2022/09/30,"Petitpas Taylor, Hon. Ginette",Member,Secondary Residence,2022/09/01,OTTAWA,OTTAWA,,,,,,,
200607433,2022/10/01,2022/10/31,,,,,,,0.0000,1527.3600,0.0000,0,0,0,1527.36
200607433,2022/10/01,2022/10/31,"Petitpas Taylor, Hon. Ginette",Member,Secondary Residence,2022/10/01,OTTAWA,OTTAWA,,,,,,,
