Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0231644,2022/06/01,2022/06/30,,,,,,,0.0000,1596.9900,0.0000,0,0,0,1596.99
T0231644,2022/06/01,2022/06/30,"Alghabra, Hon. Omar",Member,Secondary Residence,2022/06/01,Ottawa,Ottawa,,,,,,,
T0230834,2022/06/13,2022/06/17,,,,,,,1017.4300,0.0000,516.7400,1.0000,0,0,1534.17
T0230834,2022/06/13,2022/06/17,"Alghabra, Hon. Omar",Member,To travel to/from constituency and Ottawa,2022/06/13,Mississauga,Ottawa,,,,,,,
T0230834,2022/06/13,2022/06/17,"Alghabra, Hon. Omar",Member,To travel to/from constituency and Ottawa,2022/06/17,Ottawa,Mississauga,,,,,,,
T0231194,2022/06/19,2022/06/24,,,,,,,478.9200,0.0000,620.0900,1.0000,0,0,1099.01
T0231194,2022/06/19,2022/06/24,"Alghabra, Hon. Omar",Member,To travel to/from constituency and Ottawa,2022/06/19,Mississauga,Ottawa,,,,,,,
T0231194,2022/06/19,2022/06/24,"Alghabra, Hon. Omar",Member,To travel to/from constituency and Ottawa,2022/06/24,Ottawa,Mississauga,,,,,,,
T0233068,2022/07/01,2022/08/17,,,,,,,0.0000,1646.9900,0.0000,0,0,0,1646.99
T0233068,2022/07/01,2022/08/17,"Alghabra, Hon. Omar",Member,Secondary Residence,2022/07/01,Ottawa,Ottawa,,,,,,,
T0233068,2022/07/01,2022/08/17,"Alghabra, Hon. Omar",Member,Secondary Residence,2022/07/18,Ottawa,Ottawa,,,,,,,
T0232714,2022/07/16,2022/07/16,,,,,,,92.7400,0.0000,19.7800,0,0.0000,0,112.52
T0232714,2022/07/16,2022/07/16,"Alghabra, Hon. Omar",Member,To attend a constituency or community event,2022/07/16,Mississauga,Bradford,,,,,,,
T0232714,2022/07/16,2022/07/16,"Alghabra, Hon. Omar",Member,To attend a constituency or community event,2022/07/16,Bradford,Mississauga,,,,,,,
T0234531,2022/08/01,2022/09/17,,,,,,,0.0000,1646.9900,0.0000,0,0,0,1646.99
T0234531,2022/08/01,2022/09/17,"Alghabra, Hon. Omar",Member,Secondary Residence,2022/08/01,Ottawa,Ottawa,,,,,,,
T0234531,2022/08/01,2022/09/17,"Alghabra, Hon. Omar",Member,Secondary Residence,2022/08/18,Ottawa,Ottawa,,,,,,,
T0235295,2022/09/11,2022/09/14,,,,,,,909.5300,835.0600,290.4900,0,1.0000,0,2035.08
T0235295,2022/09/11,2022/09/14,"Alghabra, Hon. Omar",Member,To attend a national caucus meeting,2022/09/11,Mississauga,St. John,,,,,,,
T0235295,2022/09/11,2022/09/14,"Alghabra, Hon. Omar",Member,To attend a national caucus meeting,2022/09/14,St. John,Mississauga,,,,,,,
T0235296,2022/09/14,2022/09/15,,,,,,,499.7200,0.0000,171.7000,1.0000,0,0,671.42
T0235296,2022/09/14,2022/09/15,"Alghabra, Hon. Omar",Member,To travel to/from constituency and Ottawa,2022/09/14,Mississauga,Ottawa,,,,,,,
T0235296,2022/09/14,2022/09/15,"Alghabra, Hon. Omar",Member,To travel to/from constituency and Ottawa,2022/09/15,Ottawa,Mississauga,,,,,,,
T0235734,2022/09/18,2022/09/23,,,,,,,499.7200,0.0000,620.0900,1.0000,0,0,1119.81
T0235734,2022/09/18,2022/09/23,"Alghabra, Hon. Omar",Member,To travel to/from constituency and Ottawa,2022/09/18,Mississauga,Ottawa,,,,,,,
T0235734,2022/09/18,2022/09/23,"Alghabra, Hon. Omar",Member,To travel to/from constituency and Ottawa,2022/09/23,Ottawa,Mississauga,,,,,,,
