Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0221759,2021/09/21,2021/09/27,,,,,,,89.5300,0.0000,0.0000,0.0000,0.0000,0,89.53
T0221759,2021/09/21,2021/09/27,"Long, Wayne",Member,To conduct constituency office business,2021/09/21,Saint John,Saint John,,,,,,,
T0221759,2021/09/21,2021/09/27,"Long, Wayne",Member,To conduct constituency office business,2021/09/27,Saint John,Rothesay,,,,,,,
T0221760,2021/10/04,2021/10/25,,,,,,,155.3200,0.0000,0.0000,0.0000,0.0000,0,155.32
T0221760,2021/10/04,2021/10/25,"Long, Wayne",Member,To conduct constituency office business,2021/10/04,Saint John,Rothesay,,,,,,,
T0221760,2021/10/04,2021/10/25,"Long, Wayne",Member,To attend meetings with stakeholders about business of the House,2021/10/11,Saint John,Saint John,,,,,,,
T0221760,2021/10/04,2021/10/25,"Long, Wayne",Member,To attend meetings with stakeholders about business of the House,2021/10/18,Saint John,Saint John,,,,,,,
T0221760,2021/10/04,2021/10/25,"Long, Wayne",Member,To conduct constituency office business,2021/10/25,Saint John,Rothesay,,,,,,,
T0221762,2021/11/01,2021/11/29,,,,,,,169.6600,0.0000,0.0000,0,0,0,169.66
T0221762,2021/11/01,2021/11/29,"Long, Wayne",Member,To conduct constituency office business,2021/11/01,Saint John,Rothesay,,,,,,,
T0221763,2021/12/06,2021/12/20,,,,,,,98.4300,0.0000,0.0000,0.0000,0.0000,0,98.43
T0221763,2021/12/06,2021/12/20,"Long, Wayne",Member,To attend a constituency or community event,2021/12/06,Saint John,Saint John,,,,,,,
T0221763,2021/12/06,2021/12/20,"Long, Wayne",Member,To attend a constituency or community event,2021/12/13,Saint John,Rothesay,,,,,,,
T0221763,2021/12/06,2021/12/20,"Long, Wayne",Member,To attend a constituency or community event,2021/12/20,Saint John,Saint John,,,,,,,
T0221064,2021/12/12,2021/12/17,,,,,,,751.0900,624.3300,606.7000,1.0000,0,0,1982.12
T0221064,2021/12/12,2021/12/17,"Long, Wayne",Member,To travel to/from constituency and Ottawa,2021/12/12,Saint John,Ottawa,,,,,,,
T0221064,2021/12/12,2021/12/17,"Long, Wayne",Member,To travel to/from constituency and Ottawa,2021/12/17,Ottawa,Saint John,,,,,,,
T0221764,2022/01/03,2022/01/14,,,,,,,101.9000,0.0000,0.0000,0.0000,0.0000,0,101.90
T0221764,2022/01/03,2022/01/14,"Long, Wayne",Member,To conduct constituency office business,2022/01/03,Saint John,Saint John,,,,,,,
T0221764,2022/01/03,2022/01/14,"Long, Wayne",Member,To conduct constituency office business,2022/01/10,Saint John,Saint John,,,,,,,
T0221764,2022/01/03,2022/01/14,"Long, Wayne",Member,To conduct constituency office business,2022/01/14,Saint John,Rothesay,,,,,,,
T0226391,2022/03/27,2022/03/31,,,,,,,422.3800,624.3300,505.5800,0.5000,0,0,1552.29
T0226391,2022/03/27,2022/03/31,"Long, Wayne",Member,To travel to/from constituency and Ottawa,2022/03/27,Fredericton,Ottawa,,,,,,,
T0226397,2022/03/31,2022/03/31,,,,,,,420.5900,0.0000,0.0000,0.5000,0,0,420.59
T0226397,2022/03/31,2022/03/31,,Designated Traveller,To travel to/from constituency and Ottawa,2022/03/31,Fredericton,Ottawa,,,,,,,
