Supplier,Description,Date,Total
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/06/01,92.86
Star Metroland Media,Advertising,2022/06/30,318.00
Zoom Video Communications Inc.,Computer Software and Licenses,2022/07/26,20.00
TD Canada Trust,Banking Fees and Cheque Orders,2022/07/29,16.95
RMI-ITF Burlington Mall,Storage and Warehousing,2022/08/01,145.66
Dollarama,Gifts given as a matter of protocol,2022/08/12,6.75
Dollarama,Gifts given as a matter of protocol,2022/08/12,32.58
Dollarama,Gifts given as a matter of protocol,2022/08/15,2.25
LOOK LOCAL,Advertising,2022/08/26,295.00
TD Canada Trust,Banking Fees and Cheque Orders,2022/08/31,16.95
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2022/08/31,27.96
Canadian Mental Health Association,Professional Development and Training for Members' Employees,2022/09/01,150.00
Dollarama,"Office Supplies, Stationery and Accessories",2022/09/01,9.00
RMI-ITF Burlington Mall,Storage and Warehousing,2022/09/01,145.66
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/09/02,143.06
Star Metroland Media,Advertising,2022/09/11,318.00
Enbridge,Public Utilities,2022/09/14,212.62
The Hamilton Spectator,"Printed Matter, Books, Newspapers and Subscriptions",2022/09/15,9.03
Toronto Star,"Printed Matter, Books, Newspapers and Subscriptions",2022/09/16,21.52
Mailchimp,Professional Communication Services,2022/09/18,78.93
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/09/20,89.98
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2022/09/20,47.05
Google Play,Computer Software and Licenses,2022/09/20,27.99
The New York Times,"Printed Matter, Books, Newspapers and Subscriptions",2022/09/22,30.00
The Walrus,"Printed Matter, Books, Newspapers and Subscriptions",2022/09/22,35.31
Choice Communication (Canada) Ltd.,Advertising,2022/09/23,150.00
LOOK LOCAL,Advertising,2022/09/23,295.00
Sky Pixel,Advertising,2022/09/25,500.00
"Canadian Mental Health Association ",Professional Development and Training for Members' Employees,2022/09/26,150.00
"The Globe and Mail ","Printed Matter, Books, Newspapers and Subscriptions",2022/09/26,27.96
Zoom Video Communications Inc.,Image/Video Communications Services,2022/09/26,20.00
Meta,Advertising,2022/09/29,50.00
TD Canada Trust,Banking Fees and Cheque Orders,2022/09/29,16.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/09/30,219.37
Grand & Toy,Cleaning Products,2022/09/30,34.08
Star Metroland Media,Advertising,2022/09/30,318.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,12.64
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/09/30,182.64
A. B. Wass Electronic Security Systems,Protection and Alarm Monitoring (Member's Office Budget),2022/10/01,337.92
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/10/01,192.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/10/01,42.00
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/10/01,151.78
RMI-ITF Burlington Mall,Storage and Warehousing,2022/10/03,136.26
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/10/04,149.39
Burlington Hydro,Public Utilities,2022/10/06,191.78
Cogeco Connexion inc.,Constituency Office Internet,2022/10/06,239.95
Sky Pixel,Advertising,2022/10/09,500.00
Enbridge,Public Utilities,2022/10/14,142.53
The Hamilton Spectator,"Printed Matter, Books, Newspapers and Subscriptions",2022/10/15,9.03
Canada Post – Postes Canada,Postage and Parcel Post,2022/10/17,484.54
Mailchimp,Professional Communication Services,2022/10/18,82.33
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/10/20,172.71
Toronto Star,"Printed Matter, Books, Newspapers and Subscriptions",2022/10/20,21.52
LOOK LOCAL,Advertising,2022/10/21,515.00
Canadian Mental Health Association,Professional Development and Training for Members' Employees,2022/10/23,150.00
Star Metroland Media,Advertising,2022/10/23,318.00
BLUE-PENCIL Business Services Inc,Shredding,2022/10/24,75.99
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2022/10/25,27.96
Pattison Outdoor Advertising LP,Advertising,2022/10/26,680.00
"Pattison Outdoor Advertising LP ",Advertising,2022/10/26,80.00
Zoom Video Communications Inc.,Image/Video Communications Services,2022/10/26,20.00
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/10/28,165.58
Grand & Toy,Cleaning Products,2022/10/31,24.22
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/10/31,416.91
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/10/31,1312.04
TD Canada Trust,Banking Fees and Cheque Orders,2022/10/31,16.95
RIOCAN MANAGEMENT INC.,Office Rental Related Fees,2022/11/01,859.98
RIOCAN MANAGEMENT INC.,Office Rental,2022/11/01,1603.42
RMI-ITF Burlington Mall,Storage and Warehousing,2022/11/01,145.66
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/11/02,146.23
Lauft,Public Meeting Room Rentals,2022/11/04,50.00
