Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0237825,2022/06/01,2022/08/31,,,,,,,585.9200,0.0000,0.0000,0.0000,0,0,585.92
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,To conduct constituency office business,2022/06/02,Saint-Augustin-de-Desmaures,Saint-Gabriel-de-Valcartier,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/06/07,Saint-Casimir,Saint-Augustin-de-Desmaures,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/06/16,Saint-Augustin-de-Desmaures,Pont-Rouge,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/06/16,Pont-Rouge,Saint-Augustin-de-Desmaures,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/06/24,Saint-Raymond,Neuville,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/06/24,Neuville,Saint-Raymond,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/06/27,Saint-Augustin-de-Desmaures,Pont-Rouge,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/06/27,Pont-Rouge,Pont-Rouge,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/06/27,Pont-Rouge,Saint-Augustin-de-Desmaures,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,To attend a constituency or community event,2022/07/01,Saint-Raymond,Sainte-Catherine-de-la-Jacques-Cartier,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/07/01,Sainte-Catherine-de-la-Jacques-Cartier,Saint-Augustin-de-Desmaures,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,To conduct constituency office business,2022/06/02,Saint-Gabriel-de-Valcartier,Saint-Augustin-de-Desmaures,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/07/01,Saint-Augustin-de-Desmaures,Saint-Raymond,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/07/01,Saint-Raymond,Sainte-Catherine-de-la-Jacques-Cartier,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/07/01,Sainte-Catherine-de-la-Jacques-Cartier,Saint-Raymond,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/07/15,Saint-Raymond,Québec,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/07/15,Québec,Saint-Raymond,,,,,,,
T0237825,2022/06/01,2022/08/31,"Godin, Joël",Member,Attending event with Member,2022/08/10,Saint-Raymond,Saint-Casimir,,,,,,,
