Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0213796,2021/05/25,2021/05/31,,,,,,,637.4400,0.0000,0.0000,1.0000,0,0,637.44
T0213796,2021/05/25,2021/05/31,"Lobb, Ben",Member,To travel to/from constituency and Ottawa,2021/05/25,Point Clark,Ottawa,,,,,,,
T0213796,2021/05/25,2021/05/31,"Lobb, Ben",Member,To travel to/from constituency and Ottawa,2021/05/31,Ottawa,Point Clark,,,,,,,
T0213793,2021/06/01,2021/06/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0213793,2021/06/01,2021/06/30,"Lobb, Ben",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,,,,,,,
T0213797,2021/06/03,2021/06/19,,,,,,,637.4400,0.0000,0.0000,1.0000,0,0,637.44
T0213797,2021/06/03,2021/06/19,"Lobb, Ben",Member,To travel to/from constituency and Ottawa,2021/06/03,Point Clark,Ottawa,,,,,,,
T0213797,2021/06/03,2021/06/19,"Lobb, Ben",Member,To travel to/from constituency and Ottawa,2021/06/19,Ottawa,Point Clark,,,,,,,
T0213798,2021/06/21,2021/06/22,,,,,,,637.4400,0.0000,0.0000,1.0000,0,0,637.44
T0213798,2021/06/21,2021/06/22,"Lobb, Ben",Member,To travel to/from constituency and Ottawa,2021/06/21,Point Clark,Ottawa,,,,,,,
T0213798,2021/06/21,2021/06/22,"Lobb, Ben",Member,To travel to/from constituency and Ottawa,2021/06/22,Ottawa,Point Clark,,,,,,,
T0214487,2021/07/01,2021/07/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0214487,2021/07/01,2021/07/31,"Lobb, Ben",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,,,,,,,
T0215646,2021/08/01,2021/08/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0215646,2021/08/01,2021/08/31,"Lobb, Ben",Member,Secondary Residence,2021/08/01,Ottawa,Ottawa,,,,,,,
