Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0204948,2020/04/01,2020/06/30,,,,,,,1062.3000,0.0000,1085.8900,5.0000,0,0,2148.19
T0204948,2020/04/01,2020/06/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/04/19,Brossard,Ottawa,,,,,,,
T0204948,2020/04/01,2020/06/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/06/23,Ottawa,Brossard,,,,,,,
T0204948,2020/04/01,2020/06/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/04/20,Ottawa,Brossard,,,,,,,
T0204948,2020/04/01,2020/06/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/05/03,Brossard,Ottawa,,,,,,,
T0204948,2020/04/01,2020/06/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/05/07,Ottawa,Brossard,,,,,,,
T0204948,2020/04/01,2020/06/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/05/24,Brossard,Ottawa,,,,,,,
T0204948,2020/04/01,2020/06/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/05/27,Ottawa,Brossard,,,,,,,
T0204948,2020/04/01,2020/06/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/06/07,Brossard,Ottawa,,,,,,,
T0204948,2020/04/01,2020/06/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/06/11,Ottawa,Brossard,,,,,,,
T0204948,2020/04/01,2020/06/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/06/23,Brossard,Ottawa,,,,,,,
T0209163,2020/07/01,2020/09/30,,,,,,,613.4700,0.0000,710.9800,3.0000,0,0,1324.45
T0209163,2020/07/01,2020/09/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/07/19,Brossard,Ottawa,,,,,,,
T0209163,2020/07/01,2020/09/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/07/22,Ottawa,Brossard,,,,,,,
T0209163,2020/07/01,2020/09/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/09/21,Brossard,Ottawa,,,,,,,
T0209163,2020/07/01,2020/09/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/09/24,Ottawa,Brossard,,,,,,,
T0209163,2020/07/01,2020/09/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/09/27,Brossard,Ottawa,,,,,,,
T0209163,2020/07/01,2020/09/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/09/30,Ottawa,Brossard,,,,,,,
T0209652,2020/10/01,2020/10/01,,,,,,,105.5400,0.0000,0.0000,0.5000,0,0,105.54
T0209652,2020/10/01,2020/10/01,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/10/01,Ottawa,Brossard,,,,,,,
T0209653,2020/10/04,2020/10/09,,,,,,,208.4700,0.0000,419.4600,1.0000,0,0,627.93
T0209653,2020/10/04,2020/10/09,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/10/04,Brossard,Ottawa,,,,,,,
T0209653,2020/10/04,2020/10/09,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/10/09,Ottawa,Brossard,,,,,,,
T0209655,2020/10/18,2020/10/22,,,,,,,208.4700,0.0000,320.5400,1.0000,0,0,529.01
T0209655,2020/10/18,2020/10/22,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/10/18,Brossard,Ottawa,,,,,,,
T0209655,2020/10/18,2020/10/22,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/10/22,Ottawa,Brossard,,,,,,,
T0209657,2020/10/25,2020/10/30,,,,,,,208.4700,0.0000,339.1100,1.0000,0,0,547.58
T0209657,2020/10/25,2020/10/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/10/25,Brossard,Ottawa,,,,,,,
T0209657,2020/10/25,2020/10/30,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/10/30,Ottawa,Brossard,,,,,,,
T0209658,2020/11/01,2020/11/05,,,,,,,208.4700,0.0000,320.5400,1.0000,0,0,529.01
T0209658,2020/11/01,2020/11/05,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/11/01,Brossard,Ottawa,,,,,,,
T0209658,2020/11/01,2020/11/05,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/11/05,Ottawa,Brossard,,,,,,,
T0209659,2020/11/15,2020/11/19,,,,,,,208.4700,0.0000,339.3300,1.0000,0,0,547.80
T0209659,2020/11/15,2020/11/19,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/11/15,Brossard,Ottawa,,,,,,,
T0209659,2020/11/15,2020/11/19,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/11/19,Ottawa,Brossard,,,,,,,
T0209660,2020/11/22,2020/11/27,,,,,,,208.4700,0.0000,419.4600,1.0000,0,0,627.93
T0209660,2020/11/22,2020/11/27,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/11/22,Brossard,Ottawa,,,,,,,
T0209660,2020/11/22,2020/11/27,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/11/27,Ottawa,Brossard,,,,,,,
T0209662,2020/11/29,2020/12/04,,,,,,,208.4700,0.0000,419.4600,1.0000,0,0,627.93
T0209662,2020/11/29,2020/12/04,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/11/29,Brossard,Ottawa,,,,,,,
T0209662,2020/11/29,2020/12/04,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/12/04,Ottawa,Brossard,,,,,,,
T0209663,2020/12/06,2020/12/11,,,,,,,208.4700,0.0000,357.9000,1.0000,0,0,566.37
T0209663,2020/12/06,2020/12/11,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/12/06,Brossard,Ottawa,,,,,,,
T0209663,2020/12/06,2020/12/11,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2020/12/11,Ottawa,Brossard,,,,,,,
200491614,2021/01/01,2021/01/31,,,,,,,0.0000,-27.0000,0.0000,0,0,0,-27.00
200491614,2021/01/01,2021/01/31,"Mendès, Alexandra",Member,Secondary Residence,2021/01/01,GATINEAU,GATINEAU,,,,,,,
T0211816,2021/01/01,2021/04/30,,,,,,,0.0000,357.9900,0.0000,0,0,0,357.99
T0211816,2021/01/01,2021/04/30,"Mendès, Alexandra",Member,Secondary Residence,2021/01/01,GATINEAU,GATINEAU,,,,,,,
T0212049,2021/01/24,2021/01/31,,,,,,,314.3800,0.0000,548.8400,1.5000,0,0,863.22
T0212049,2021/01/24,2021/01/31,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2021/01/24,Brossard,Ottawa,,,,,,,
T0212049,2021/01/24,2021/01/31,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2021/01/29,Ottawa,Brossard,,,,,,,
T0212049,2021/01/24,2021/01/31,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2021/01/31,Brossard,Ottawa,,,,,,,
200467616,2021/02/01,2021/02/28,,,,,,,0.0000,1292.0000,0.0000,0,0,0,1292.00
200467616,2021/02/01,2021/02/28,"Mendès, Alexandra",Member,Secondary Residence,2021/02/01,GATINEAU,GATINEAU,,,,,,,
200491615,2021/02/01,2021/02/28,,,,,,,0.0000,-27.0000,0.0000,0,0,0,-27.00
200491615,2021/02/01,2021/02/28,"Mendès, Alexandra",Member,Secondary Residence,2021/02/01,GATINEAU,GATINEAU,,,,,,,
T0212050,2021/02/05,2021/02/26,,,,,,,527.4600,0.0000,780.4900,2.5000,0,0,1307.95
T0212050,2021/02/05,2021/02/26,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2021/02/05,Ottawa,Brossard,,,,,,,
T0212050,2021/02/05,2021/02/26,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2021/02/15,Brossard,Ottawa,,,,,,,
T0212050,2021/02/05,2021/02/26,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2021/02/19,Ottawa,Brossard,,,,,,,
T0212050,2021/02/05,2021/02/26,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2021/02/21,Brossard,Ottawa,,,,,,,
T0212050,2021/02/05,2021/02/26,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2021/02/26,Ottawa,Brossard,,,,,,,
200491616,2021/03/01,2021/03/31,,,,,,,0.0000,-27.0000,0.0000,0,0,0,-27.00
200491616,2021/03/01,2021/03/31,"Mendès, Alexandra",Member,Secondary Residence,2021/03/01,GATINEAU,GATINEAU,,,,,,,
200475617,2021/03/01,2021/03/31,,,,,,,0.0000,1292.0000,0.0000,0,0,0,1292.00
200475617,2021/03/01,2021/03/31,"Mendès, Alexandra",Member,Secondary Residence,2021/03/01,GATINEAU,GATINEAU,,,,,,,
T0212051,2021/03/07,2021/03/26,,,,,,,420.9200,0.0000,613.5300,2.0000,0,0,1034.45
T0212051,2021/03/07,2021/03/26,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2021/03/07,Brossard,Ottawa,,,,,,,
T0212051,2021/03/07,2021/03/26,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2021/03/12,Ottawa,Brossard,,,,,,,
T0212051,2021/03/07,2021/03/26,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2021/03/21,Brossard,Ottawa,,,,,,,
T0212051,2021/03/07,2021/03/26,"Mendès, Alexandra",Member,To travel to/from constituency and Ottawa,2021/03/26,Ottawa,Brossard,,,,,,,
