Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0213201,2021/06/06,2021/06/11,,,,,,,1137.4200,0.0000,366.0300,1.0000,0,0,1503.45
T0213201,2021/06/06,2021/06/11,"Viersen, Arnold",Member,To travel to/from constituency and Ottawa,2021/06/06,Neerlandia,Ottawa,,,,,,,
T0213201,2021/06/06,2021/06/11,"Viersen, Arnold",Member,To travel to/from constituency and Ottawa,2021/06/11,Ottawa,Neerlandia,,,,,,,
T0213661,2021/06/20,2021/06/24,,,,,,,1122.7500,0.0000,303.7900,1.0000,0,0,1426.54
T0213661,2021/06/20,2021/06/24,"Viersen, Arnold",Member,To travel to/from constituency and Ottawa,2021/06/20,Neerlandia,Ottawa,,,,,,,
T0213661,2021/06/20,2021/06/24,"Viersen, Arnold",Member,To travel to/from constituency and Ottawa,2021/06/24,Ottawa,Neerlandia,,,,,,,
T0214106,2021/07/02,2021/07/09,,,,,,,293.5700,0.0000,327.1600,0.5000,0,0,620.73
T0214106,2021/07/02,2021/07/09,"Bazzarelli, Emilio",Employee,To travel to/from constituency and Ottawa,2021/07/02,Ottawa,Barrhead,,,,,,,
400122273,2021/09/01,2021/09/30,,,,,,,0.0000,-1900.0000,0.0000,0,0,0,-1900.00
400122273,2021/09/01,2021/09/30,"Viersen, Arnold",Member,Secondary Residence,2021/09/01,,,,,,,,,
