Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0219196,2021/07/01,2021/08/01,,,,,,,0.0000,24.7600,0.0000,0,0,0,24.76
T0219196,2021/07/01,2021/08/01,"Shanahan, Brenda",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,,,,,,,
T0219197,2021/08/01,2021/09/01,,,,,,,0.0000,26.1400,0.0000,0,0,0,26.14
T0219197,2021/08/01,2021/09/01,"Shanahan, Brenda",Member,Secondary Residence,2021/08/01,Ottawa,Ottawa,,,,,,,
T0219202,2021/09/01,2021/10/01,,,,,,,0.0000,23.1400,0.0000,0,0,0,23.14
T0219202,2021/09/01,2021/10/01,"Shanahan, Brenda",Member,Secondary Residence,2021/09/01,Ottawa,Ottawa,,,,,,,
T0216692,2021/09/27,2021/09/28,,,,,,,206.1700,0.0000,0.0000,1.0000,0,0,206.17
T0216692,2021/09/27,2021/09/28,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/09/27,Châteauguay,Ottawa,,,,,,,
T0216687,2021/09/27,2021/09/28,,,,,,,0.0000,198.3100,28.4800,0.0000,0,0,226.79
T0216687,2021/09/27,2021/09/28,"Keenan, Mary",Employee,To travel to/from constituency and Ottawa,2021/09/27,Châteauguay,Ottawa,,,,,,,
T0216692,2021/09/27,2021/09/28,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/09/28,Ottawa,Châteauguay,,,,,,,
T0216687,2021/09/27,2021/09/28,"Keenan, Mary",Employee,To travel to/from constituency and Ottawa,2021/09/28,Ottawa,Châteauguay,,,,,,,
T0217377,2021/10/13,2021/10/14,,,,,,,206.2600,0.0000,0.0000,1.0000,0,0,206.26
T0217377,2021/10/13,2021/10/14,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/10/13,Châteauguay,Ottawa,,,,,,,
T0217377,2021/10/13,2021/10/14,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/10/14,Ottawa,Châteauguay,,,,,,,
T0218053,2021/10/18,2021/10/19,,,,,,,206.2600,0.0000,0.0000,1.0000,0,0,206.26
T0218053,2021/10/18,2021/10/19,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/10/18,Châteauguay,Ottawa,,,,,,,
T0218053,2021/10/18,2021/10/19,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/10/19,Ottawa,Châteauguay,,,,,,,
T0218182,2021/11/01,2021/11/06,,,,,,,450.0200,0.0000,0.0000,2.0000,0,0,450.02
T0218182,2021/11/01,2021/11/06,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/11/01,Châteauguay,Ottawa,,,,,,,
T0218182,2021/11/01,2021/11/06,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/11/02,Ottawa,Châteauguay,,,,,,,
T0218182,2021/11/01,2021/11/06,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/11/04,Châteauguay,Ottawa,,,,,,,
T0218182,2021/11/01,2021/11/06,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/11/06,Ottawa,Châteauguay,,,,,,,
200524123,2021/11/01,2021/11/30,,,,,,,0.0000,2144.0000,0.0000,0,0,0,2144.00
200524123,2021/11/01,2021/11/30,"Shanahan, Brenda",Member,Secondary Residence,2021/11/01,OTTAWA,OTTAWA,,,,,,,
T0218195,2021/11/07,2021/11/09,,,,,,,225.9100,0.0000,0.0000,1.0000,0,0,225.91
T0218195,2021/11/07,2021/11/09,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/11/07,Châteauguay,Ottawa,,,,,,,
T0218195,2021/11/07,2021/11/09,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/11/09,Ottawa,Châteauguay,,,,,,,
T0218910,2021/11/19,2021/11/20,,,,,,,206.2600,0.0000,0.0000,1.0000,0,0,206.26
T0218910,2021/11/19,2021/11/20,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/11/19,Châteauguay,Ottawa,,,,,,,
T0218910,2021/11/19,2021/11/20,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/11/20,Ottawa,Châteauguay,,,,,,,
T0219319,2021/11/21,2021/11/26,,,,,,,284.8300,0.0000,0.0000,1.0000,0,0,284.83
T0219319,2021/11/21,2021/11/26,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/11/21,Châteauguay,Ottawa,,,,,,,
T0219319,2021/11/21,2021/11/26,"Shanahan, Brenda",Member,To travel to/from constituency and Ottawa,2021/11/26,Ottawa,Châteauguay,,,,,,,
T0219001,2021/11/23,2021/11/24,,,,,,,226.5100,178.4700,52.4800,1.0000,0,0,457.46
T0219001,2021/11/23,2021/11/24,"Keenan, Mary",Employee,To travel to/from constituency and Ottawa,2021/11/23,Châteauguay,Ottawa,,,,,,,
T0219001,2021/11/23,2021/11/24,"Keenan, Mary",Employee,To travel to/from constituency and Ottawa,2021/11/24,Ottawa,Châteauguay,,,,,,,
T0219658,2021/11/30,2021/12/01,,,,,,,208.6600,194.1200,66.5000,1.0000,0,0,469.28
T0219658,2021/11/30,2021/12/01,"Keenan, Mary",Employee,To travel to/from constituency and Ottawa,2021/11/30,Châteauguay,Ottawa,,,,,,,
T0219658,2021/11/30,2021/12/01,"Keenan, Mary",Employee,To travel to/from constituency and Ottawa,2021/12/01,Ottawa,Châteauguay,,,,,,,
200530368,2021/12/01,2021/12/31,,,,,,,0.0000,2144.0000,0.0000,0,0,0,2144.00
200530368,2021/12/01,2021/12/31,"Shanahan, Brenda",Member,Secondary Residence,2021/12/01,OTTAWA,OTTAWA,,,,,,,
200538561,2022/01/01,2022/01/31,,,,,,,0.0000,2144.0000,0.0000,0,0,0,2144.00
200538561,2022/01/01,2022/01/31,"Shanahan, Brenda",Member,Secondary Residence,2022/01/01,OTTAWA,OTTAWA,,,,,,,
