Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0219283,2021/11/21,2021/11/26,,,,,,,1789.1800,0.0000,221.0700,1.0000,0,0,2010.25
T0219283,2021/11/21,2021/11/26,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2021/11/21,Swift Current,Ottawa,,,,,,,
T0219283,2021/11/21,2021/11/26,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2021/11/26,Ottawa,Swift Current,,,,,,,
T0220449,2021/11/28,2021/12/03,,,,,,,1752.0800,0.0000,177.5900,1.0000,0,0,1929.67
T0220449,2021/11/28,2021/12/03,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2021/11/28,Swift Current,Ottawa,,,,,,,
T0220449,2021/11/28,2021/12/03,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2021/12/03,Ottawa,Swift Current,,,,,,,
T0220453,2021/12/05,2021/12/10,,,,,,,1857.7000,115.4100,277.8100,1.0000,0,0,2250.92
T0220453,2021/12/05,2021/12/10,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2021/12/05,Swift Current,Ottawa,,,,,,,
T0220453,2021/12/05,2021/12/10,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2021/12/10,Ottawa,Swift Current,,,,,,,
T0220955,2021/12/12,2021/12/17,,,,,,,1748.9600,0.0000,230.2700,1.0000,0,0,1979.23
T0220955,2021/12/12,2021/12/17,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2021/12/12,Swift Current,Ottawa,,,,,,,
T0220955,2021/12/12,2021/12/17,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2021/12/17,Ottawa,Swift Current,,,,,,,
T0221666,2022/01/04,2022/01/04,,,,,,,134.2400,0.0000,0.0000,0.0000,0,0,134.24
T0221666,2022/01/04,2022/01/04,"Patzer, Jeremy",Member,To attend meetings with stakeholders about business of the House,2022/01/04,Swift Current,Elrose,,,,,,,
T0221666,2022/01/04,2022/01/04,"Patzer, Jeremy",Member,To attend meetings with stakeholders about business of the House,2022/01/04,Elrose,Swift Current,,,,,,,
T0223646,2022/01/11,2022/02/10,,,,,,,0.0000,219.9700,0.0000,0,0,0,219.97
T0223646,2022/01/11,2022/02/10,"Patzer, Jeremy",Member,Secondary Residence,2022/01/11,Ottawa,Ottawa,,,,,,,
T0222143,2022/01/19,2022/01/20,,,,,,,186.9800,133.9400,50.9600,0,0.0000,0,371.88
T0222143,2022/01/19,2022/01/20,"Patzer, Jeremy",Member,To attend a regional or provincial caucus meeting,2022/01/19,Swift Current,Moose Jaw,,,,,,,
T0222143,2022/01/19,2022/01/20,"Patzer, Jeremy",Member,To attend a regional or provincial caucus meeting,2022/01/20,Moose Jaw,Swift Current,,,,,,,
T0222219,2022/01/25,2022/01/28,,,,,,,1903.1700,0.0000,180.0900,1.0000,0,0,2083.26
T0222219,2022/01/25,2022/01/28,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2022/01/25,Swift Current,Ottawa,,,,,,,
T0222219,2022/01/25,2022/01/28,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2022/01/28,Ottawa,Swift Current,,,,,,,
T0222769,2022/01/30,2022/02/04,,,,,,,1902.4100,0.0000,134.3300,1.0000,0,0,2036.74
T0222769,2022/01/30,2022/02/04,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2022/01/30,Swift Current,Ottawa,,,,,,,
T0222769,2022/01/30,2022/02/04,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2022/02/04,Ottawa,Swift Current,,,,,,,
200543966,2022/02/01,2022/02/28,,,,,,,0.0000,1850.0000,0.0000,0,0,0,1850.00
200543966,2022/02/01,2022/02/28,"Patzer, Jeremy",Member,Secondary Residence,2022/02/01,OTTAWA,OTTAWA,,,,,,,
T0223234,2022/02/06,2022/02/11,,,,,,,1898.3300,0.0000,265.9800,1.0000,0,0,2164.31
T0223234,2022/02/06,2022/02/11,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2022/02/06,Swift Current,Ottawa,,,,,,,
T0223234,2022/02/06,2022/02/11,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2022/02/11,Ottawa,Regina,,,,,,,
T0223239,2022/02/13,2022/02/22,,,,,,,1992.6200,0.0000,408.6200,1.0000,0,0,2401.24
T0223239,2022/02/13,2022/02/22,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2022/02/13,Swift Current,Ottawa,,,,,,,
T0223239,2022/02/13,2022/02/22,"Patzer, Jeremy",Member,To travel to/from constituency and Ottawa,2022/02/22,Ottawa,Swift Current,,,,,,,
