Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0214978,2021/05/23,2021/05/23,,,,,,,46.3300,0.0000,0.0000,0.5000,0,0,46.33
T0214978,2021/05/23,2021/05/23,"Talbot, Jean-Sébastien",Employee,To conduct constituency office business,2021/05/23,Longueuil,Saint-Hubert,,,,,,,
200507728,2021/08/01,2021/08/31,,,,,,,0.0000,1860.0000,0.0000,0,0,0,1860.00
200507728,2021/08/01,2021/08/31,"Trudel, Denis",Member,Secondary Residence,2021/08/01,GATINEAU,GATINEAU,,,,,,,
T0215069,2021/08/08,2021/08/08,,,,,,,181.3600,0.0000,97.6700,0,1.0000,0,279.03
T0215069,2021/08/08,2021/08/08,"Trudel, Denis",Member,To attend a national caucus meeting,2021/08/08,Longueuil,Shawinigan,,,,,,,
T0215069,2021/08/08,2021/08/08,"Trudel, Denis",Member,To attend a national caucus meeting,2021/08/08,Shawinigan,Longueuil,,,,,,,
200515778,2021/09/01,2021/09/30,,,,,,,0.0000,1860.0000,0.0000,0,0,0,1860.00
200515778,2021/09/01,2021/09/30,"Trudel, Denis",Member,Secondary Residence,2021/09/01,GATINEAU,GATINEAU,,,,,,,
200519955,2021/10/01,2021/10/31,,,,,,,0.0000,1860.0000,0.0000,0,0,0,1860.00
200519955,2021/10/01,2021/10/31,"Trudel, Denis",Member,Secondary Residence,2021/10/01,GATINEAU,GATINEAU,,,,,,,
