Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0232330,2022/05/10,2022/06/09,,,,,,,0.0000,45.3700,0.0000,0,0,0,45.37
T0232330,2022/05/10,2022/06/09,"Bachrach, Taylor",Member,Secondary Residence,2022/05/10,Ottawa,Ottawa,,,,,,,
T0232332,2022/05/25,2022/06/25,,,,,,,0.0000,62.9500,0.0000,0,0,0,62.95
T0232332,2022/05/25,2022/06/25,"Bachrach, Taylor",Member,Secondary Residence,2022/05/25,Ottawa,Ottawa,,,,,,,
T0230602,2022/05/29,2022/06/03,,,,,,,1837.0600,0.0000,487.7200,1.0000,0,0,2324.78
T0230602,2022/05/29,2022/06/03,"Bachrach, Taylor",Member,To travel to/from constituency and Ottawa,2022/05/29,Terrace,Ottawa,,,,,,,
T0230602,2022/05/29,2022/06/03,"Bachrach, Taylor",Member,To travel to/from constituency and Ottawa,2022/06/03,Ottawa,Terrace,,,,,,,
T0231087,2022/06/02,2022/06/02,,,,,,,82.0100,0.0000,0.0000,0,0.0000,0,82.01
T0231087,2022/06/02,2022/06/02,"Bachrach, Taylor",Member,To attend an event as a guest speaker,2022/06/02,Ottawa,Kanata,,,,,,,
T0231087,2022/06/02,2022/06/02,"Bachrach, Taylor",Member,To attend an event as a guest speaker,2022/06/02,Kanata,Ottawa,,,,,,,
T0230607,2022/06/04,2022/06/05,,,,,,,403.0500,142.6400,111.3000,0.0000,0,0,656.99
T0230607,2022/06/04,2022/06/05,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/06/04,Smithers,Kispiox,,,,,,,
T0230607,2022/06/04,2022/06/05,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/06/04,Kispiox,Prince Rupert,,,,,,,
T0230607,2022/06/04,2022/06/05,"Bachrach, Taylor",Member,To drive Member to/from terminal,2022/06/04,Prince Rupert,Terrace,,,,,,,
T0230607,2022/06/04,2022/06/05,"Bachrach, Taylor",Member,To drive Member to/from terminal,2022/06/05,Terrace,Smithers,,,,,,,
T0231171,2022/06/05,2022/06/10,,,,,,,1884.0700,870.9300,413.3900,1.0000,0,0,3168.39
T0231171,2022/06/05,2022/06/10,"Bachrach, Taylor",Member,To travel to/from constituency and Ottawa,2022/06/05,Smithers,Ottawa,,,,,,,
T0231171,2022/06/05,2022/06/10,"Bachrach, Taylor",Member,To travel to/from constituency and Ottawa,2022/06/09,Ottawa,Smithers,,,,,,,
T0232835,2022/06/09,2022/07/09,,,,,,,0.0000,41.2200,0.0000,0,0,0,41.22
T0232835,2022/06/09,2022/07/09,"Bachrach, Taylor",Member,Secondary Residence,2022/06/09,Ottawa,Ottawa,,,,,,,
T0231172,2022/06/10,2022/06/12,,,,,,,370.0800,163.5900,222.6000,0.0000,0,0,756.27
T0231172,2022/06/10,2022/06/12,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/06/10,Smithers,Prince Rupert,,,,,,,
T0231172,2022/06/10,2022/06/12,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/06/11,Prince Rupert,Smithers,,,,,,,
T0231173,2022/06/12,2022/06/17,,,,,,,1747.5900,336.8400,516.7400,1.0000,0,0,2601.17
T0231173,2022/06/12,2022/06/17,"Bachrach, Taylor",Member,To travel to/from constituency and Ottawa,2022/06/12,Smithers,Ottawa,,,,,,,
T0231173,2022/06/12,2022/06/17,"Bachrach, Taylor",Member,To travel to/from constituency and Ottawa,2022/06/16,Ottawa,Smithers,,,,,,,
T0230714,2022/06/16,2022/06/16,,,,,,,225.4600,0.0000,37.9300,0.0000,0,0,263.39
T0230714,2022/06/16,2022/06/16,"Colthurst, Georgina",Employee,To conduct constituency office business,2022/06/16,Terrace,Smithers,,,,,,,
T0230714,2022/06/16,2022/06/16,"Colthurst, Georgina",Employee,To conduct constituency office business,2022/06/16,Smithers,Terrace,,,,,,,
T0231174,2022/06/17,2022/06/19,,,,,,,181.3000,142.6400,132.3600,0.0000,0.0000,0,456.30
T0231174,2022/06/17,2022/06/19,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/06/17,Smithers,Witset,,,,,,,
T0231174,2022/06/17,2022/06/19,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/06/17,Witset,Smithers,,,,,,,
T0231174,2022/06/17,2022/06/19,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/06/18,Smithers,Terrace,,,,,,,
T0231175,2022/06/19,2022/06/23,,,,,,,938.6900,0.0000,468.1700,0.5000,0,0,1406.86
T0231175,2022/06/19,2022/06/23,"Bachrach, Taylor",Member,To travel to/from constituency and Ottawa,2022/06/19,Terrace,Ottawa,,,,,,,
T0232238,2022/06/24,2022/06/30,,,,,,,3927.4600,0.0000,103.3500,2.5000,0,0,4030.81
T0232238,2022/06/24,2022/06/30,,Dependant,To unite the family with the Member,2022/06/24,Smithers,Ottawa,,,,,,,
T0232238,2022/06/24,2022/06/30,,Dependant,To unite the family with the Member,2022/06/24,Smithers,Ottawa,,,,,,,
T0232238,2022/06/24,2022/06/30,,Dependant,To unite the family with the Member,2022/06/30,Ottawa,Terrace,,,,,,,
T0232238,2022/06/24,2022/06/30,,Dependant,To unite the family with the Member,2022/06/30,Ottawa,Terrace,,,,,,,
T0232238,2022/06/24,2022/06/30,"Bachrach, Taylor",Member,To travel to/from constituency and Ottawa,2022/06/30,Ottawa,Terrace,,,,,,,
T0232853,2022/06/25,2022/07/25,,,,,,,0.0000,52.8000,0.0000,0,0,0,52.80
T0232853,2022/06/25,2022/07/25,"Bachrach, Taylor",Member,Secondary Residence,2022/06/25,Ottawa,Ottawa,,,,,,,
T0232171,2022/06/30,2022/06/30,,,,,,,155.2600,0.0000,21.3000,0.0000,0,0,176.56
T0232171,2022/06/30,2022/06/30,"Colthurst, Georgina",Employee,To conduct constituency office business,2022/06/30,Terrace,Prince Rupert,,,,,,,
T0232171,2022/06/30,2022/06/30,"Colthurst, Georgina",Employee,To conduct constituency office business,2022/06/30,Prince Rupert,Terrace,,,,,,,
T0232478,2022/07/01,2022/07/01,,,,,,,181.9800,0.0000,58.9900,0.0000,0,0,240.97
T0232478,2022/07/01,2022/07/01,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/01,Terrace,Kitimat,,,,,,,
T0232478,2022/07/01,2022/07/01,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/01,Kitimat,Smithers,,,,,,,
200582377,2022/07/01,2022/07/31,,,,,,,0.0000,1527.8900,0.0000,0,0,0,1527.89
200582377,2022/07/01,2022/07/31,"Bachrach, Taylor",Member,Secondary Residence,2022/07/01,OTTAWA,OTTAWA,,,,,,,
T0232480,2022/07/04,2022/07/04,,,,,,,358.4000,0.0000,111.3000,0.0000,0,0,469.70
T0232480,2022/07/04,2022/07/04,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2022/07/04,Smithers,Fort St. James,,,,,,,
T0232480,2022/07/04,2022/07/04,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2022/07/04,Fort St. James,Smithers,,,,,,,
T0232483,2022/07/06,2022/07/07,,,,,,,510.4200,0.0000,149.2300,0,0,0,659.65
T0232483,2022/07/06,2022/07/07,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/06,Smithers,Kitimat,,,,,,,
T0232487,2022/07/09,2022/07/13,,,,,,,972.0200,667.3500,461.8300,0.0000,0,0,2101.20
T0232487,2022/07/09,2022/07/13,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/09,Smithers,Terrace,,,,,,,
T0232487,2022/07/09,2022/07/13,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2022/07/10,Terrace,Iskut,,,,,,,
T0232487,2022/07/09,2022/07/13,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2022/07/11,Iskut,Telegraph Creek,,,,,,,
T0232487,2022/07/09,2022/07/13,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2022/07/12,Telegraph Creek,Dease Lake,,,,,,,
T0232487,2022/07/09,2022/07/13,"Bachrach, Taylor",Member,To conduct constituency office business,2022/07/13,Dease Lake,Smithers,,,,,,,
T0234163,2022/07/09,2022/08/09,,,,,,,0.0000,35.0900,0.0000,0,0,0,35.09
T0234163,2022/07/09,2022/08/09,"Bachrach, Taylor",Member,Secondary Residence,2022/07/09,Ottawa,Ottawa,,,,,,,
T0232497,2022/07/14,2022/07/18,,,,,,,2429.4300,1128.7200,693.5100,1.0000,0,0,4251.66
T0232497,2022/07/14,2022/07/18,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/14,Smithers,Bella Coola,,,,,,,
T0232497,2022/07/14,2022/07/18,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/18,Terrace,Kitimat,,,,,,,
T0232497,2022/07/14,2022/07/18,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/18,Kitimat,Smithers,,,,,,,
T0232497,2022/07/14,2022/07/18,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/15,Hagensborg,Hagensborg,,,,,,,
T0232497,2022/07/14,2022/07/18,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/17,Bella Coola,Terrace,,,,,,,
T0233325,2022/07/14,2022/07/30,,,,,,,319.5600,0.0000,37.9300,0.0000,0,0,357.49
T0233325,2022/07/14,2022/07/30,"McLeod, Joshua",Employee,Attending event with Member,2022/07/14,Prince Rupert,Terrace,,,,,,,
T0233325,2022/07/14,2022/07/30,"McLeod, Joshua",Employee,Attending event with Member,2022/07/19,Terrace,Prince Rupert,,,,,,,
T0233325,2022/07/14,2022/07/30,"McLeod, Joshua",Employee,Attending event with Member,2022/07/30,Prince Rupert,Terrace,,,,,,,
T0233325,2022/07/14,2022/07/30,"McLeod, Joshua",Employee,Attending event with Member,2022/07/30,Terrace,Prince Rupert,,,,,,,
T0232869,2022/07/19,2022/07/19,,,,,,,106.5200,0.0000,37.9300,0.0000,0.0000,0,144.45
T0232869,2022/07/19,2022/07/19,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2022/07/19,Smithers,Witset,,,,,,,
T0232869,2022/07/19,2022/07/19,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/19,Witset,New Hazelton,,,,,,,
T0232869,2022/07/19,2022/07/19,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/19,New Hazelton,Kispiox,,,,,,,
T0232869,2022/07/19,2022/07/19,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/19,Kispiox,Hazelton,,,,,,,
T0232869,2022/07/19,2022/07/19,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2022/07/19,Hazelton,Smithers,,,,,,,
T0232949,2022/07/20,2022/07/20,,,,,,,244.1200,0.0000,16.6300,0.0000,0,0,260.75
T0232949,2022/07/20,2022/07/20,"Holdijk, Eric",Employee,To conduct constituency office business,2022/07/20,Smithers,Terrace,,,,,,,
T0232949,2022/07/20,2022/07/20,"Holdijk, Eric",Employee,To conduct constituency office business,2022/07/20,Terrace,Smithers,,,,,,,
T0234334,2022/07/25,2022/08/25,,,,,,,0.0000,62.9500,0.0000,0,0,0,62.95
T0234334,2022/07/25,2022/08/25,"Bachrach, Taylor",Member,Secondary Residence,2022/07/25,Ottawa,Ottawa,,,,,,,
T0233338,2022/07/29,2022/07/30,,,,,,,231.9000,142.6400,163.6100,0.0000,0,0,538.15
T0233338,2022/07/29,2022/07/30,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/29,Smithers,Terrace,,,,,,,
T0233338,2022/07/29,2022/07/30,"Bachrach, Taylor",Member,To attend a constituency or community event,2022/07/30,Terrace,Smithers,,,,,,,
T0233339,2022/08/01,2022/08/07,,,,,,,1741.9100,815.5100,556.2500,0.5000,0,0,3113.67
