Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0217190,2021/09/08,2021/10/07,,,,,,,0.0000,47.0300,0.0000,0,0,0,47.03
T0217190,2021/09/08,2021/10/07,"Ruff, Alex",Member,Secondary Residence,2021/09/08,Ottawa,Ottawa,,,,,,,
T0216564,2021/09/21,2021/09/30,,,,,,,0.0000,500.0000,0.0000,0,0,0,500.00
T0216564,2021/09/21,2021/09/30,"Ruff, Alex",Member,Secondary Residence,2021/09/21,Ottawa,Ottawa,,,,,,,
T0217346,2021/10/01,2021/10/31,,,,,,,0.0000,1250.0000,0.0000,0,0,0,1250.00
T0217346,2021/10/01,2021/10/31,"Ruff, Alex",Member,Secondary Residence,2021/10/01,Ottawa,Ottawa,,,,,,,
T0216189,2021/10/04,2021/10/25,,,,,,,626.6300,0.0000,116.7900,1.0000,0,0,743.42
T0216189,2021/10/04,2021/10/25,"Ruff, Alex",Member,To travel to/from constituency and Ottawa,2021/10/04,Tara,Ottawa,,,,,,,
T0216189,2021/10/04,2021/10/25,"Ruff, Alex",Member,To travel to/from constituency and Ottawa,2021/10/25,Ottawa,Tara,,,,,,,
T0218532,2021/10/08,2021/11/07,,,,,,,0.0000,82.9900,0.0000,0,0,0,82.99
T0218532,2021/10/08,2021/11/07,"Ruff, Alex",Member,Secondary Residence,2021/10/08,Ottawa,Ottawa,,,,,,,
T0217054,2021/10/26,2021/10/27,,,,,,,929.2300,0.0000,125.5400,1.0000,0,0,1054.77
T0217054,2021/10/26,2021/10/27,"Ruff, Alex",Member,To travel to/from constituency and Ottawa,2021/10/26,Tara,Ottawa,,,,,,,
T0217054,2021/10/26,2021/10/27,"Ruff, Alex",Member,To travel to/from constituency and Ottawa,2021/10/27,Ottawa,Tara,,,,,,,
T0217348,2021/10/31,2021/11/08,,,,,,,543.1200,0.0000,135.8500,1.0000,0,0,678.97
T0217348,2021/10/31,2021/11/08,"Ruff, Alex",Member,To travel to/from constituency and Ottawa,2021/10/31,Tara,Ottawa,,,,,,,
T0217348,2021/10/31,2021/11/08,"Ruff, Alex",Member,To travel to/from constituency and Ottawa,2021/11/08,Ottawa,Tara,,,,,,,
T0219556,2021/11/01,2021/11/30,,,,,,,0.0000,1200.0000,0.0000,0,0,0,1200.00
T0219556,2021/11/01,2021/11/30,"Ruff, Alex",Member,Secondary Residence,2021/11/01,Ottawa,Ottawa,,,,,,,
T0218382,2021/11/14,2021/11/26,,,,,,,699.0600,0.0000,192.1400,1.0000,0,0,891.20
T0218382,2021/11/14,2021/11/26,"Ruff, Alex",Member,To travel to/from constituency and Ottawa,2021/11/14,Tara,Ottawa,,,,,,,
T0218382,2021/11/14,2021/11/26,"Ruff, Alex",Member,To travel to/from constituency and Ottawa,2021/11/26,Ottawa,Tara,,,,,,,
T0219284,2021/11/28,2021/12/03,,,,,,,1234.6700,0.0000,116.7900,1.5000,0,0,1351.46
T0219284,2021/11/28,2021/12/03,"Ruff, Alex",Member,To travel to/from constituency and Ottawa,2021/11/28,Tara,Ottawa,,,,,,,
T0219284,2021/11/28,2021/12/03,"Ruff, Alex",Member,To travel to/from constituency and Ottawa,2021/12/03,Ottawa,Tara,,,,,,,
T0219284,2021/11/28,2021/12/03,,Dependant,To unite the family with the Member,2021/12/03,Ottawa,Tara,,,,,,,
