Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0205718,2020/09/01,2020/09/30,,,,,,,1025.0600,0.0000,0.0000,0.0000,0.0000,0,1025.06
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To participate in a government program initiative,2020/09/03,Verner,Greater Sudbury,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To attend a constituency or community event,2020/09/14,Greater Sudbury,Verner,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To participate in a government program initiative,2020/09/15,Verner,Greater Sudbury,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To participate in a government program initiative,2020/09/15,Greater Sudbury,Verner,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To attend a constituency or community event,2020/09/16,Verner,Greater Sudbury,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To attend a constituency or community event,2020/09/16,Greater Sudbury,Verner,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To attend meetings about constituency issues,2020/09/18,Verner,Greater Sudbury,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To attend meetings about constituency issues,2020/09/18,Greater Sudbury,Verner,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To attend meetings about constituency issues,2020/09/21,Verner,Greater Sudbury,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To attend meetings about constituency issues,2020/09/21,Greater Sudbury,Verner,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To participate in a government program initiative,2020/09/03,Greater Sudbury,Verner,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To attend a constituency or community event,2020/09/09,Verner,Greater Sudbury,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To attend a constituency or community event,2020/09/09,Greater Sudbury,Verner,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To participate in a government program initiative,2020/09/10,Verner,Greater Sudbury,,,,,,,
T0205718,2020/09/01,2020/09/30,"Serré, Marc",Member,To participate in a government program initiative,2020/09/10,Greater Sudbury,Verner,,,,,,,
