Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0212111,2021/02/01,2021/02/28,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
T0212111,2021/02/01,2021/02/28,"Boulerice, Alexandre",Member,Secondary Residence,2021/02/01,Ottawa,Ottawa,,,,,,,
T0212112,2021/03/01,2021/03/31,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
T0212112,2021/03/01,2021/03/31,"Boulerice, Alexandre",Member,Secondary Residence,2021/03/01,Ottawa,Ottawa,,,,,,,
T0212113,2021/04/01,2021/04/30,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
T0212113,2021/04/01,2021/04/30,"Boulerice, Alexandre",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,,,,,,,
T0212195,2021/04/21,2021/04/23,,,,,,,68.8800,0.0000,227.0500,0.0000,0,0,295.93
T0212195,2021/04/21,2021/04/23,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2021/04/21,Rosemont,Ottawa,,,,,,,
T0212195,2021/04/21,2021/04/23,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2021/04/23,Ottawa,Rosemont,,,,,,,
T0212505,2021/04/26,2021/04/29,,,,,,,69.5700,0.0000,327.1900,0.0000,0,0,396.76
T0212505,2021/04/26,2021/04/29,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2021/04/26,Rosemont,Ottawa,,,,,,,
T0212505,2021/04/26,2021/04/29,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2021/04/29,Ottawa,Rosemont,,,,,,,
T0212506,2021/05/01,2021/05/31,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
T0212506,2021/05/01,2021/05/31,"Boulerice, Alexandre",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,,,,,,,
T0212525,2021/05/10,2021/05/14,,,,,,,72.3200,0.0000,419.6000,0.0000,0,0,491.92
T0212525,2021/05/10,2021/05/14,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2021/05/10,Rosemont,Ottawa,,,,,,,
T0212525,2021/05/10,2021/05/14,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2021/05/14,Ottawa,Rosemont,,,,,,,
T0213079,2021/06/01,2021/06/30,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
T0213079,2021/06/01,2021/06/30,"Boulerice, Alexandre",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,,,,,,,
T0213176,2021/06/07,2021/06/11,,,,,,,68.0000,0.0000,419.6000,0.0000,0,0,487.60
T0213176,2021/06/07,2021/06/11,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2021/06/07,Rosemont,Ottawa,,,,,,,
T0213176,2021/06/07,2021/06/11,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2021/06/11,Ottawa,Rosemont,,,,,,,
T0213333,2021/06/14,2021/06/15,,,,,,,185.3100,0.0000,0.0000,1.0000,0,0,185.31
T0213333,2021/06/14,2021/06/15,"Fortin-Pouliot, Samuel",Employee,To travel to/from constituency and Ottawa,2021/06/14,Rosemont--La Petite-Patrie,Ottawa,,,,,,,
T0213333,2021/06/14,2021/06/15,"Fortin-Pouliot, Samuel",Employee,To travel to/from constituency and Ottawa,2021/06/15,Ottawa,Rosemont--La Petite-Patrie,,,,,,,
T0213370,2021/06/17,2021/06/17,,,,,,,185.7900,0.0000,100.1300,1.0000,0,0,285.92
T0213370,2021/06/17,2021/06/17,"Fournier-Dorion, Julien",Employee,To travel to/from constituency and Ottawa,2021/06/17,Montréal,Ottawa,,,,,,,
T0213370,2021/06/17,2021/06/17,"Fournier-Dorion, Julien",Employee,To travel to/from constituency and Ottawa,2021/06/17,Ottawa,Montréal,,,,,,,
T0213204,2021/07/01,2021/07/31,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
T0213204,2021/07/01,2021/07/31,"Boulerice, Alexandre",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,,,,,,,
