Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0215296,2021/04/01,2021/04/30,,,,,,,91.2000,0.0000,0.0000,0.0000,0,0,91.20
T0215296,2021/04/01,2021/04/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/04/01,New Lowell,Collingwood,,,,,,,
T0215296,2021/04/01,2021/04/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/04/01,Collingwood,Wasaga Beach,,,,,,,
T0215296,2021/04/01,2021/04/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/04/01,Wasaga Beach,Collingwood,,,,,,,
T0215296,2021/04/01,2021/04/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/04/01,Collingwood,New Lowell,,,,,,,
T0215296,2021/04/01,2021/04/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/04/03,New Lowell,New Tecumseth,,,,,,,
T0215296,2021/04/01,2021/04/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/04/03,New Tecumseth,New Lowell,,,,,,,
T0215297,2021/05/01,2021/05/31,,,,,,,148.1600,0.0000,0.0000,0.0000,0,0,148.16
T0215297,2021/05/01,2021/05/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/05/04,New Lowell,New Tecumseth,,,,,,,
T0215297,2021/05/01,2021/05/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/05/31,Collingwood,New Lowell,,,,,,,
T0215297,2021/05/01,2021/05/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/05/04,New Tecumseth,New Lowell,,,,,,,
T0215297,2021/05/01,2021/05/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/05/14,New Lowell,New Tecumseth,,,,,,,
T0215297,2021/05/01,2021/05/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/05/14,New Tecumseth,New Lowell,,,,,,,
T0215297,2021/05/01,2021/05/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/05/20,New Lowell,New Tecumseth,,,,,,,
T0215297,2021/05/01,2021/05/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/05/20,New Tecumseth,New Lowell,,,,,,,
T0215297,2021/05/01,2021/05/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/05/26,New Lowell,New Tecumseth,,,,,,,
T0215297,2021/05/01,2021/05/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/05/26,New Tecumseth,New Lowell,,,,,,,
T0215297,2021/05/01,2021/05/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/05/31,New Lowell,Collingwood,,,,,,,
T0215298,2021/06/01,2021/06/30,,,,,,,120.6500,0.0000,0.0000,0.0000,0,0,120.65
T0215298,2021/06/01,2021/06/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/06/08,New Lowell,Stayner,,,,,,,
T0215298,2021/06/01,2021/06/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/06/11,Wasaga Beach,New Lowell,,,,,,,
T0215298,2021/06/01,2021/06/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/06/08,Stayner,Collingwood,,,,,,,
T0215298,2021/06/01,2021/06/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/06/08,Collingwood,New Lowell,,,,,,,
T0215298,2021/06/01,2021/06/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/06/10,New Lowell,New Tecumseth,,,,,,,
T0215298,2021/06/01,2021/06/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/06/10,New Tecumseth,New Tecumseth,,,,,,,
T0215298,2021/06/01,2021/06/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/06/10,New Tecumseth,Angus,,,,,,,
T0215298,2021/06/01,2021/06/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/06/10,Angus,New Tecumseth,,,,,,,
T0215298,2021/06/01,2021/06/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/06/10,New Tecumseth,New Lowell,,,,,,,
T0215298,2021/06/01,2021/06/30,"Dowdall, Terry",Member,To conduct constituency office business,2021/06/11,New Lowell,Wasaga Beach,,,,,,,
T0214015,2021/06/13,2021/06/18,,,,,,,532.0000,0.0000,447.7700,1.0000,0,0,979.77
T0214015,2021/06/13,2021/06/18,"Dowdall, Terry",Member,To travel to/from constituency and Ottawa,2021/06/13,New Lowell,Ottawa,,,,,,,
T0214015,2021/06/13,2021/06/18,"Dowdall, Terry",Member,To travel to/from constituency and Ottawa,2021/06/18,Ottawa,New Lowell,,,,,,,
T0213587,2021/06/23,2021/07/23,,,,,,,0.0000,35.0000,0.0000,0,0,0,35.00
T0213587,2021/06/23,2021/07/23,"Dowdall, Terry",Member,Secondary Residence,2021/06/23,Ottawa,Ottawa,,,,,,,
T0215342,2021/07/01,2021/07/31,,,,,,,450.1600,0.0000,0.0000,0.0000,0,0,450.16
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/05,New Lowell,New Tecumseth,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/08,Angus,New Tecumseth,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/08,New Tecumseth,New Lowell,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/12,New Lowell,New Tecumseth,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/12,New Tecumseth,New Lowell,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/17,New Lowell,Stayner,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/17,Stayner,New Lowell,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/21,New Lowell,Collingwood,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/21,Collingwood,New Tecumseth,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/21,New Tecumseth,New Tecumseth,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/21,New Tecumseth,New Tecumseth,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/05,New Tecumseth,New Lowell,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/21,New Tecumseth,New Lowell,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/22,New Lowell,New Tecumseth,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/22,New Tecumseth,New Lowell,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/24,New Lowell,Utopia,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/24,Utopia,New Lowell,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/24,Utopia,Ravenna,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/24,Ravenna,Collingwood,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/24,Collingwood,New Lowell,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/26,New Lowell,New Tecumseth,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/26,New Tecumseth,New Lowell,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/07,New Lowell,Collingwood,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/28,New Lowell,Collingwood,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/28,Collingwood,Collingwood,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/28,Collingwood,Collingwood,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/28,Collingwood,New Tecumseth,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/28,New Tecumseth,New Lowell,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/07,Collingwood,Collingwood,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/07,Collingwood,Collingwood,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/07,Collingwood,New Lowell,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/08,New Lowell,New Tecumseth,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/08,New Tecumseth,New Tecumseth,,,,,,,
T0215342,2021/07/01,2021/07/31,"Dowdall, Terry",Member,To conduct constituency office business,2021/07/08,New Tecumseth,Angus,,,,,,,
200507628,2021/08/01,2021/08/31,,,,,,,0.0000,1300.0000,0.0000,0,0,0,1300.00
200507628,2021/08/01,2021/08/31,"Dowdall, Terry",Member,Secondary Residence,2021/08/01,OTTAWA,OTTAWA,,,,,,,
T0215505,2021/08/02,2021/08/05,,,,,,,548.0000,0.0000,254.0600,1.0000,0,0,802.06
T0215505,2021/08/02,2021/08/05,"Dowdall, Terry",Member,To travel to/from constituency and Ottawa,2021/08/02,New Lowell,Ottawa,,,,,,,
T0215505,2021/08/02,2021/08/05,"Dowdall, Terry",Member,To travel to/from constituency and Ottawa,2021/08/05,Ottawa,New Lowell,,,,,,,
200515679,2021/09/01,2021/09/30,,,,,,,0.0000,1300.0000,0.0000,0,0,0,1300.00
200515679,2021/09/01,2021/09/30,"Dowdall, Terry",Member,Secondary Residence,2021/09/01,OTTAWA,OTTAWA,,,,,,,
200519866,2021/10/01,2021/10/31,,,,,,,0.0000,1300.0000,0.0000,0,0,0,1300.00
200519866,2021/10/01,2021/10/31,"Dowdall, Terry",Member,Secondary Residence,2021/10/01,OTTAWA,OTTAWA,,,,,,,
