Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0235345,2022/05/26,2022/06/25,,,,,,,0.0000,35.2200,0.0000,0,0,0,35.22
T0235345,2022/05/26,2022/06/25,"Lamoureux, Kevin",Member,Secondary Residence,2022/05/26,Ottawa,Ottawa,,,,,,,
T0235353,2022/06/19,2022/06/24,,,,,,,1611.6400,0.0000,341.2900,1.0000,0,0,1952.93
T0235353,2022/06/19,2022/06/24,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2022/06/19,Winnipeg,Ottawa,,,,,,,
T0235353,2022/06/19,2022/06/24,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2022/06/24,Ottawa,Winnipeg,,,,,,,
T0235348,2022/06/23,2022/07/22,,,,,,,0.0000,91.9900,0.0000,0,0,0,91.99
T0235348,2022/06/23,2022/07/22,"Lamoureux, Kevin",Member,Secondary Residence,2022/06/23,Ottawa,Ottawa,,,,,,,
T0235346,2022/06/25,2022/07/26,,,,,,,0.0000,30.9600,0.0000,0,0,0,30.96
T0235346,2022/06/25,2022/07/26,"Lamoureux, Kevin",Member,Secondary Residence,2022/06/25,Ottawa,Ottawa,,,,,,,
200582453,2022/07/01,2022/07/31,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
200582453,2022/07/01,2022/07/31,"Lamoureux, Kevin",Member,Secondary Residence,2022/07/01,OTTAWA,OTTAWA,,,,,,,
T0235349,2022/07/23,2022/08/22,,,,,,,0.0000,91.9900,0.0000,0,0,0,91.99
T0235349,2022/07/23,2022/08/22,"Lamoureux, Kevin",Member,Secondary Residence,2022/07/23,Ottawa,Ottawa,,,,,,,
T0235352,2022/07/25,2022/07/29,,,,,,,1566.5800,0.0000,244.1500,1.0000,0,0,1810.73
T0235352,2022/07/25,2022/07/29,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2022/07/25,Winnipeg,Ottawa,,,,,,,
T0235352,2022/07/25,2022/07/29,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2022/07/29,Ottawa,Winnipeg,,,,,,,
T0235347,2022/07/26,2022/08/25,,,,,,,0.0000,32.2700,0.0000,0,0,0,32.27
T0235347,2022/07/26,2022/08/25,"Lamoureux, Kevin",Member,Secondary Residence,2022/07/26,Ottawa,Ottawa,,,,,,,
200590080,2022/08/01,2022/08/31,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
200590080,2022/08/01,2022/08/31,"Lamoureux, Kevin",Member,Secondary Residence,2022/08/01,OTTAWA,OTTAWA,,,,,,,
T0235322,2022/08/18,2022/08/21,,,,,,,2372.1000,0.0000,0.0000,0,1.0000,0,2372.10
T0235322,2022/08/18,2022/08/21,"Lamoureux, Kevin",Member,To attend an event as a guest speaker,2022/08/18,Winnipeg,Victoria,,,,,,,
T0235322,2022/08/18,2022/08/21,"Lamoureux, Kevin",Member,To attend an event as a guest speaker,2022/08/21,Vancouver,Winnipeg,,,,,,,
T0235350,2022/08/23,2022/09/22,,,,,,,0.0000,91.9900,0.0000,0,0,0,91.99
T0235350,2022/08/23,2022/09/22,"Lamoureux, Kevin",Member,Secondary Residence,2022/08/23,Ottawa,Ottawa,,,,,,,
200600112,2022/09/01,2022/09/30,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
200600112,2022/09/01,2022/09/30,"Lamoureux, Kevin",Member,Secondary Residence,2022/09/01,OTTAWA,OTTAWA,,,,,,,
200607403,2022/10/01,2022/10/31,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
200607403,2022/10/01,2022/10/31,"Lamoureux, Kevin",Member,Secondary Residence,2022/10/01,OTTAWA,OTTAWA,,,,,,,
