Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0206366,2020/10/05,2020/10/06,,,,,,,419.8000,245.5700,166.9600,1.0000,0,0,832.33
T0206366,2020/10/05,2020/10/06,"van Koeverden, Adam",Member,To travel to/from constituency and Ottawa,2020/10/05,Toronto,Ottawa,,,,,,,
T0206366,2020/10/05,2020/10/06,"van Koeverden, Adam",Member,To travel to/from constituency and Ottawa,2020/10/06,Ottawa,Toronto,,,,,,,
T0207291,2020/10/19,2020/10/23,,,,,,,419.8000,625.3600,417.4100,1.0000,0,0,1462.57
T0207291,2020/10/19,2020/10/23,"van Koeverden, Adam",Member,To travel to/from constituency and Ottawa,2020/10/19,Toronto,Ottawa,,,,,,,
T0207291,2020/10/19,2020/10/23,"van Koeverden, Adam",Member,To travel to/from constituency and Ottawa,2020/10/23,Ottawa,Toronto,,,,,,,
T0208359,2020/11/30,2020/12/04,,,,,,,421.2000,557.5800,417.4100,1.0000,0,0,1396.19
T0208359,2020/11/30,2020/12/04,"van Koeverden, Adam",Member,To travel to/from constituency and Ottawa,2020/11/30,Toronto,Ottawa,,,,,,,
T0208359,2020/11/30,2020/12/04,"van Koeverden, Adam",Member,To travel to/from constituency and Ottawa,2020/12/04,Ottawa,Toronto,,,,,,,
T0208361,2020/12/07,2020/12/11,,,,,,,421.2000,557.5800,417.4100,1.0000,0,0,1396.19
T0208361,2020/12/07,2020/12/11,"van Koeverden, Adam",Member,To travel to/from constituency and Ottawa,2020/12/07,Toronto,Ottawa,,,,,,,
T0208361,2020/12/07,2020/12/11,"van Koeverden, Adam",Member,To travel to/from constituency and Ottawa,2020/12/11,Ottawa,Toronto,,,,,,,
