Supplier,Description,Date,Total
INTACT INSURANCE,Constituency Office Insurance,2020/11/10,119.05
SNAPD RICHMOND HILL,Advertising,2021/05/06,394.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/06/01,198.75
Bell Canada,Constituency Office Internet,2021/06/05,84.90
Zoom,Computer Software and Licences,2021/06/15,73.00
Lakefront graphix technology,Promotional Items,2021/06/18,3400.00
MAILCHIMP,Professional Communication Services,2021/06/30,85.47
TD Bank,Banking Fees and Cheque Orders,2021/06/30,10.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,8.31
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,183.58
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/07/01,207.25
BELL CANADA,Constituency Office Internet,2021/07/05,84.90
Choice Communication (Canada) Ltd.,Advertising,2021/07/05,599.69
Express Gazeta/Hot News c/o viva solar Inc.,Advertising,2021/07/05,120.00
SMART SECURITY SERVICES INC.,Protection and Alarm Monitoring (Member's Office Budget),2021/07/05,50.85
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/07/08,60.00
Beth chabad Israeli Community,Advertising,2021/07/08,250.00
Zoom,Computer Software and Licences,2021/07/15,73.00
Canada Post – Postes Canada,Courier Services,2021/07/19,5.85
Canada Post – Postes Canada,"Postage, Parcel Post and Courier Services",2021/07/29,442.85
TD BANK,Banking Fees and Cheque Orders,2021/07/30,10.95
Mailchimp,Professional Communication Services,2021/07/31,96.93
Global Maxfin Developments Inc,Office Rental and Related Fees,2021/08/01,4166.66
INTACT INSURANCE,Constituency Office Insurance,2021/08/01,119.05
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/08/01,204.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/04,60.00
House of Commons / Chambre des communes,Language Training,2021/08/04,392.84
House of Commons / Chambre des communes,Language Training,2021/08/04,386.96
SMART SECURITY SERVICES INC.,Protection and Alarm Monitoring (Member's Office Budget),2021/08/04,50.85
Canada Post – Postes Canada,Courier Services,2021/08/10,5.85
JRCC Exodus,Advertising,2021/08/11,540.00
Insightly Inc.,Computer Software and Licences,2021/08/12,447.16
Choice Communication (Canada) Ltd.,Advertising,2021/08/19,324.71
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/23,60.00
Global Maxfin Developments Inc,Office Rental and Related Fees,2021/09/01,4166.66
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/09/01,197.75
House of Commons / Chambre des communes,Language Training,2021/09/10,364.78
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/09/13,60.00
Global Maxfin Developments Inc,Office Rental and Related Fees,2021/10/01,4166.66
