Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0237119,2022/09/08,2022/09/22,,,,,,,2463.6400,0.0000,723.4400,1.0000,0,0,3187.08
T0237119,2022/09/08,2022/09/22,"Stubbs, Shannon",Member,To travel to/from constituency and Ottawa,2022/09/08,Two Hills,Ottawa,,,,,,,
T0237119,2022/09/08,2022/09/22,"Stubbs, Shannon",Member,To travel to/from constituency and Ottawa,2022/09/22,Ottawa,Two Hills,,,,,,,
T0237126,2022/09/16,2022/09/20,,,,,,,2576.5100,334.3400,0.0000,1.0000,0,0,2910.85
T0237126,2022/09/16,2022/09/20,,Designated Traveller,To unite the family with the Member,2022/09/16,Two Hills,Ottawa,,,,,,,
T0237126,2022/09/16,2022/09/20,,Designated Traveller,To unite the family with the Member,2022/09/19,Ottawa,Two Hills,,,,,,,
T0237129,2022/09/25,2022/10/07,,,,,,,5099.4400,0.0000,779.2900,2.0000,0,0,5878.73
T0237129,2022/09/25,2022/10/07,"Stubbs, Shannon",Member,To travel to/from constituency and Ottawa,2022/09/25,Two Hills,Ottawa,,,,,,,
T0237129,2022/09/25,2022/10/07,"Stubbs, Shannon",Member,To travel to/from constituency and Ottawa,2022/09/29,Ottawa,Two Hills,,,,,,,
T0237129,2022/09/25,2022/10/07,"Stubbs, Shannon",Member,To travel to/from constituency and Ottawa,2022/10/02,Two Hills,Ottawa,,,,,,,
T0237129,2022/09/25,2022/10/07,"Stubbs, Shannon",Member,To travel to/from constituency and Ottawa,2022/10/07,Ottawa,Two Hills,,,,,,,
T0239584,2022/10/11,2022/11/11,,,,,,,287.8800,0.0000,76.5900,0.0000,0.0000,0,364.47
T0239584,2022/10/11,2022/11/11,"Warawa, Tina",Employee,To conduct constituency office business,2022/10/13,Two Hills,Lloydminster,,,,,,,
T0239584,2022/10/11,2022/11/11,"Warawa, Tina",Employee,To conduct constituency office business,2022/10/13,Lloydminster,Two Hills,,,,,,,
T0239584,2022/10/11,2022/11/11,"Warawa, Tina",Employee,To conduct constituency office business,2022/11/09,Two Hills,Sherwood Park,,,,,,,
T0239584,2022/10/11,2022/11/11,"Warawa, Tina",Employee,To conduct constituency office business,2022/11/09,Sherwood Park,Two Hills,,,,,,,
T0239562,2022/10/16,2022/10/31,,,,,,,2581.8700,0.0000,0.0000,1.0000,0,0,2581.87
T0239562,2022/10/16,2022/10/31,,Designated Traveller,To unite the family with the Member,2022/10/28,Two Hills,Ottawa,,,,,,,
T0239562,2022/10/16,2022/10/31,,Designated Traveller,To unite the family with the Member,2022/10/31,Ottawa,Two Hills,,,,,,,
T0239573,2022/10/16,2022/11/03,,,,,,,1186.0500,0.0000,855.3600,0.5000,0,0,2041.41
T0239573,2022/10/16,2022/11/03,"Stubbs, Shannon",Member,To travel to/from constituency and Ottawa,2022/10/16,Two Hills,Ottawa,,,,,,,
200616386,2022/11/01,2022/11/30,,,,,,,0.0000,1706.0000,0.0000,0,0,0,1706.00
200616386,2022/11/01,2022/11/30,"Stubbs, Shannon",Member,Secondary Residence,2022/11/01,OTTAWA,OTTAWA,,,,,,,
T0239569,2022/11/04,2022/11/13,,,,,,,376.9600,0.0000,0.0000,2.0000,0,0,376.96
T0239569,2022/11/04,2022/11/13,,Designated Traveller,To drive Member to/from terminal,2022/11/04,Two Hills,Edmonton,,,,,,,
T0239566,2022/11/04,2022/11/13,,,,,,,2429.1400,0.0000,0.0000,1.0000,0,0,2429.14
T0239566,2022/11/04,2022/11/13,"Stubbs, Shannon",Member,To travel to/from constituency and Ottawa,2022/11/04,Ottawa,Two Hills,,,,,,,
T0239569,2022/11/04,2022/11/13,,Designated Traveller,To drive Member to/from terminal,2022/11/13,Edmonton,Two Hills,,,,,,,
T0239566,2022/11/04,2022/11/13,"Stubbs, Shannon",Member,To travel to/from constituency and Ottawa,2022/11/13,Two Hills,Ottawa,,,,,,,
T0239569,2022/11/04,2022/11/13,,Designated Traveller,To drive Member to/from terminal,2022/11/13,Two Hills,Edmonton,,,,,,,
T0239569,2022/11/04,2022/11/13,,Designated Traveller,To drive Member to/from terminal,2022/11/13,Edmonton,Two Hills,,,,,,,
200625238,2022/12/01,2022/12/31,,,,,,,0.0000,1706.0000,0.0000,0,0,0,1706.00
200625238,2022/12/01,2022/12/31,"Stubbs, Shannon",Member,Secondary Residence,2022/12/01,OTTAWA,OTTAWA,,,,,,,
200634574,2023/01/01,2023/01/31,,,,,,,0.0000,1706.0000,0.0000,0,0,0,1706.00
200634574,2023/01/01,2023/01/31,"Stubbs, Shannon",Member,Secondary Residence,2023/01/01,OTTAWA,OTTAWA,,,,,,,
