Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0207559,2020/07/19,2020/11/25,,,,,,,138.3500,0.0000,0.0000,0.0000,0,0,138.35
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend meetings about constituency issues,2020/07/27,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/08/19,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/08/19,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/09/12,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/09/12,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/10/03,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/10/03,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/10/13,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/10/13,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/10/16,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/11/16,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend meetings about constituency issues,2020/07/27,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/11/06,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/11/06,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/11/11,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/11/11,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend meetings about constituency issues,2020/08/07,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend meetings about constituency issues,2020/08/07,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/08/15,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/08/15,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/11/18,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/11/18,Calgary,Calgary,,,,,,,
T0207559,2020/07/19,2020/11/25,"Kmiec, Tom",Member,To attend a constituency or community event,2020/08/19,Calgary,Calgary,,,,,,,
T0204509,2020/09/02,2020/10/31,,,,,,,117.4900,0.0000,0.0000,0.0000,0,0,117.49
T0204509,2020/09/02,2020/10/31,"Andrew, Cole",Employee,Attending event with Member,2020/09/02,Calgary,Calgary,,,,,,,
