Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0242555,2022/11/10,2023/01/09,,,,,,,0.0000,120.3800,0.0000,0,0,0,120.38
T0242555,2022/11/10,2023/01/09,"DeBellefeuille, Claude",Member,Secondary Residence,2022/11/10,Gatineau,Gatineau,,,,,,,
T0242555,2022/11/10,2023/01/09,"DeBellefeuille, Claude",Member,Secondary Residence,2022/12/10,Gatineau,Gatineau,,,,,,,
T0248496,2022/11/13,2023/03/29,,,,,,,439.9500,0.0000,0.0000,0.0000,0.0000,0,439.95
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2022/11/19,Salaberry-de-Valleyfield,Saint-Polycarpe,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2022/12/03,Saint-Louis-de-Gonzague,Les Coteaux,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2022/12/03,Les Coteaux,Coteau-du-Lac,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2022/12/03,Coteau-du-Lac,Salaberry-de-Valleyfield,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend an event as a guest speaker,2022/12/17,Salaberry-de-Valleyfield,Les Coteaux,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend an event as a guest speaker,2022/12/17,Les Coteaux,Salaberry-de-Valleyfield,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2023/01/14,Salaberry-de-Valleyfield,Saint-Clet,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2023/01/14,Saint-Clet,Salaberry-de-Valleyfield,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend an event as a guest speaker,2023/01/28,Salaberry-de-Valleyfield,Beauharnois,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend an event as a guest speaker,2023/01/28,Beauharnois,Salaberry-de-Valleyfield,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2023/01/28,Salaberry-de-Valleyfield,Huntingdon,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2022/11/19,Saint-Polycarpe,Salaberry-de-Valleyfield,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2023/01/28,Huntingdon,Salaberry-de-Valleyfield,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2023/02/04,Salaberry-de-Valleyfield,Sainte-Justine-de-Newton,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2023/02/04,Sainte-Justine-de-Newton,Salaberry-de-Valleyfield,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2023/02/05,Salaberry-de-Valleyfield,Salaberry-de-Valleyfield,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2023/02/05,Salaberry-de-Valleyfield,Salaberry-de-Valleyfield,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend an event as a matter of protocol,2023/02/11,Salaberry-de-Valleyfield,Montréal,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend an event as a matter of protocol,2023/02/11,Montréal,Salaberry-de-Valleyfield,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To participate in a government program initiative,2023/03/10,Salaberry-de-Valleyfield,Saint-Stanislas-de-Kostka,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To participate in a government program initiative,2023/03/10,Saint-Stanislas-de-Kostka,Salaberry-de-Valleyfield,,,,,,,
T0248496,2022/11/13,2023/03/29,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2023/03/18,Salaberry-de-Valleyfield,Saint-Antoine-Abbé,,,,,,,
