Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0218816,2021/10/24,2021/10/25,,,,,,,284.5000,0.0000,0.0000,0,0,0,284.50
T0218816,2021/10/24,2021/10/25,,Designated Traveller,To unite the family with the Member,2021/10/24,Toronto,Ottawa,,,,,,,
T0218816,2021/10/24,2021/10/25,,Dependant,To unite the family with the Member,2021/10/25,Ottawa,Toronto,,,,,,,
T0218816,2021/10/24,2021/10/25,,Designated Traveller,To unite the family with the Member,2021/10/25,Ottawa,Toronto,,,,,,,
T0218816,2021/10/24,2021/10/25,,Dependant,To unite the family with the Member,2021/10/24,Toronto,Ottawa,,,,,,,
T0218816,2021/10/24,2021/10/25,,Dependant,To unite the family with the Member,2021/10/24,Toronto,Ottawa,,,,,,,
T0218816,2021/10/24,2021/10/25,,Dependant,To unite the family with the Member,2021/10/24,Toronto,Ottawa,,,,,,,
T0218816,2021/10/24,2021/10/25,,Dependant,To unite the family with the Member,2021/10/25,Ottawa,Toronto,,,,,,,
T0218816,2021/10/24,2021/10/25,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2021/10/24,Toronto,Ottawa,,,,,,,
T0218816,2021/10/24,2021/10/25,,Dependant,To unite the family with the Member,2021/10/25,Ottawa,Toronto,,,,,,,
T0218816,2021/10/24,2021/10/25,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2021/10/25,Ottawa,Toronto,,,,,,,
T0220257,2021/11/08,2021/11/08,,,,,,,735.1300,0.0000,19.2900,1.0000,0,0,754.42
T0220257,2021/11/08,2021/11/08,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2021/11/08,Brampton,Ottawa,,,,,,,
T0220257,2021/11/08,2021/11/08,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2021/11/08,Ottawa,Brampton,,,,,,,
T0220258,2021/11/18,2021/11/19,,,,,,,692.7300,0.0000,19.2900,1.0000,0,0,712.02
T0220258,2021/11/18,2021/11/19,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2021/11/18,Brampton,Ottawa,,,,,,,
T0220258,2021/11/18,2021/11/19,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2021/11/19,Ottawa,Brampton,,,,,,,
T0220326,2021/11/22,2021/11/25,,,,,,,665.8900,596.8400,323.6200,1.0000,0,0,1586.35
T0220326,2021/11/22,2021/11/25,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2021/11/22,Brampton,Ottawa,,,,,,,
T0220326,2021/11/22,2021/11/25,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2021/11/25,Ottawa,Brampton,,,,,,,
T0220330,2021/11/29,2021/12/02,,,,,,,628.9400,552.9700,276.2900,1.0000,0,0,1458.20
T0220330,2021/11/29,2021/12/02,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2021/11/29,Brampton,Ottawa,,,,,,,
T0220330,2021/11/29,2021/12/02,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2021/12/02,Ottawa,Brampton,,,,,,,
T0222638,2022/02/08,2022/02/08,,,,,,,714.7600,0.0000,66.3800,1.0000,0,0,781.14
T0222638,2022/02/08,2022/02/08,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2022/02/08,Brampton,Ottawa,,,,,,,
T0222638,2022/02/08,2022/02/08,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2022/02/08,Ottawa,Brampton,,,,,,,
T0222799,2022/02/11,2022/02/11,,,,,,,811.0100,0.0000,19.0600,1.0000,0,0,830.07
T0222799,2022/02/11,2022/02/11,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2022/02/11,Brampton,Ottawa,,,,,,,
T0222799,2022/02/11,2022/02/11,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2022/02/11,Ottawa,Brampton,,,,,,,
T0224356,2022/03/15,2022/03/15,,,,,,,710.3600,0.0000,38.3500,1.0000,0,0,748.71
T0224356,2022/03/15,2022/03/15,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2022/03/15,Brampton,Ottawa,,,,,,,
T0224356,2022/03/15,2022/03/15,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2022/03/15,Ottawa,Brampton,,,,,,,
T0224817,2022/03/22,2022/03/25,,,,,,,784.5100,642.1600,162.3700,1.0000,0,0,1589.04
T0224817,2022/03/22,2022/03/25,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2022/03/22,Brampton,Ottawa,,,,,,,
T0224817,2022/03/22,2022/03/25,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2022/03/25,Ottawa,Brampton,,,,,,,
T0225605,2022/03/29,2022/03/31,,,,,,,1073.1600,193.0700,171.3400,1.0000,0,0,1437.57
T0225605,2022/03/29,2022/03/31,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2022/03/30,Brampton,Ottawa,,,,,,,
T0225605,2022/03/29,2022/03/31,"Ali, Shafqat",Member,To travel to/from constituency and Ottawa,2022/03/31,Ottawa,Brampton,,,,,,,
