Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0231274,2022/04/21,2022/06/04,,,,,,,793.9700,0.0000,3867.6800,1.0000,0,0,4661.65
T0231274,2022/04/21,2022/06/04,"Baker, Yvan",Member,To travel to/from constituency and Ottawa,2022/04/21,Toronto,Ottawa,,,,,,,
T0231274,2022/04/21,2022/06/04,"Baker, Yvan",Member,To travel to/from constituency and Ottawa,2022/06/04,Ottawa,Toronto,,,,,,,
T0231319,2022/05/18,2022/05/18,,,,,,,15.8300,0.0000,0.0000,0,0.0000,0,15.83
T0231319,2022/05/18,2022/05/18,"Baker, Yvan",Member,To attend an event as a matter of protocol,2022/05/18,Ottawa,Ottawa,,,,,,,
T0231282,2022/06/05,2022/06/09,,,,,,,734.1600,0.0000,371.1600,1.0000,0,0,1105.32
T0231282,2022/06/05,2022/06/09,"Baker, Yvan",Member,To travel to/from constituency and Ottawa,2022/06/05,Toronto,Ottawa,,,,,,,
T0231282,2022/06/05,2022/06/09,"Baker, Yvan",Member,To travel to/from constituency and Ottawa,2022/06/09,Ottawa,Toronto,,,,,,,
T0231471,2022/06/10,2022/06/12,,,,,,,281.5200,0.0000,0.0000,0.0000,0,0,281.52
T0231471,2022/06/10,2022/06/12,"Baker, Yvan",Member,To attend a constituency or community event,2022/06/10,Toronto,Toronto,,,,,,,
T0231471,2022/06/10,2022/06/12,"Baker, Yvan",Member,To attend a constituency or community event,2022/06/11,Toronto,Toronto,,,,,,,
T0231471,2022/06/10,2022/06/12,"Baker, Yvan",Member,To attend a constituency or community event,2022/06/12,Toronto,Toronto,,,,,,,
T0231888,2022/06/12,2022/06/12,,,,,,,313.2100,0.0000,0.0000,0.5000,0,0,313.21
T0231888,2022/06/12,2022/06/12,"Marino, Daniel",Employee,To travel to/from constituency and Ottawa,2022/06/12,Ottawa,Toronto,,,,,,,
T0231289,2022/06/12,2022/06/21,,,,,,,585.7900,0.0000,791.1200,1.0000,0,0,1376.91
T0231289,2022/06/12,2022/06/21,"Baker, Yvan",Member,To travel to/from constituency and Ottawa,2022/06/12,Toronto,Ottawa,,,,,,,
T0231289,2022/06/12,2022/06/21,"Baker, Yvan",Member,To travel to/from constituency and Ottawa,2022/06/21,Ottawa,Toronto,,,,,,,
T0233870,2022/07/26,2022/07/27,,,,,,,812.9100,208.8000,175.8000,1.0000,0,0,1197.51
T0233870,2022/07/26,2022/07/27,"Baker, Yvan",Member,To travel to/from constituency and Ottawa,2022/07/26,Toronto,Ottawa,,,,,,,
T0235101,2022/07/26,2022/07/27,,,,,,,564.2600,0.0000,0.0000,1.0000,0,0,564.26
T0235101,2022/07/26,2022/07/27,,Designated Traveller,To travel to/from constituency and Ottawa,2022/07/26,Toronto,Ottawa,,,,,,,
T0235101,2022/07/26,2022/07/27,,Designated Traveller,To travel to/from constituency and Ottawa,2022/07/27,Ottawa,Toronto,,,,,,,
T0233870,2022/07/26,2022/07/27,"Baker, Yvan",Member,To travel to/from constituency and Ottawa,2022/07/27,Ottawa,Toronto,,,,,,,
T0235153,2022/08/17,2022/08/19,,,,,,,168.2800,504.2700,263.7100,0,0.0000,0,936.26
T0235153,2022/08/17,2022/08/19,"Baker, Yvan",Member,To attend a regional or provincial caucus meeting,2022/08/17,Toronto,Niagara Falls,,,,,,,
T0235153,2022/08/17,2022/08/19,"Baker, Yvan",Member,To attend a regional or provincial caucus meeting,2022/08/19,Niagara Falls,Toronto,,,,,,,
T0235151,2022/08/19,2022/08/21,,,,,,,656.6000,0.0000,0.0000,1.0000,0,0,656.60
T0235151,2022/08/19,2022/08/21,"Samulewski, Matthew",Employee,To travel to/from constituency and Ottawa,2022/08/19,Ottawa,Toronto,,,,,,,
T0235151,2022/08/19,2022/08/21,"Samulewski, Matthew",Employee,To travel to/from constituency and Ottawa,2022/08/21,Toronto,Ottawa,,,,,,,
T0235421,2022/08/24,2022/08/24,,,,,,,24.9000,0.0000,0.0000,0.0000,0,0,24.90
T0235421,2022/08/24,2022/08/24,"Baker, Yvan",Member,To attend a constituency or community event,2022/08/24,Toronto,Toronto,,,,,,,
T0235421,2022/08/24,2022/08/24,"Baker, Yvan",Member,To attend a constituency or community event,2022/08/24,Toronto,Toronto,,,,,,,
T0235640,2022/09/16,2022/09/18,,,,,,,740.1200,0.0000,0.0000,1.0000,0,0,740.12
T0235640,2022/09/16,2022/09/18,"Marino, Daniel",Employee,To travel to/from constituency and Ottawa,2022/09/16,Ottawa,Toronto,,,,,,,
T0235640,2022/09/16,2022/09/18,"Marino, Daniel",Employee,To travel to/from constituency and Ottawa,2022/09/18,Toronto,Ottawa,,,,,,,
