Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0209432,2020/11/01,2020/11/30,,,,,,,552.2300,0.0000,0.0000,0.0000,0,0,552.23
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/01,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/12,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/13,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/14,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/15,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/17,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/18,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/19,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/20,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/21,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/22,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/02,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/23,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/24,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/25,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/26,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/27,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/28,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/03,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/04,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/07,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/08,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/09,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/10,Edmonton,Edmonton,,,,,,,
T0209432,2020/11/01,2020/11/30,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/11/11,Edmonton,Edmonton,,,,,,,
T0209110,2020/11/11,2020/12/11,,,,,,,0.0000,29.3400,0.0000,0,0,0,29.34
T0209110,2020/11/11,2020/12/11,"Jeneroux, Matt",Member,Secondary Residence,2020/11/11,Ottawa,Ottawa,,,,,,,
T0208119,2020/11/29,2020/12/04,,,,,,,97.7300,0.0000,0.0000,0,0,0,97.73
T0208119,2020/11/29,2020/12/04,"Jeneroux, Matt",Member,To travel to/from constituency and Ottawa,2020/11/29,Edmonton,Ottawa,,,,,,,
T0208119,2020/11/29,2020/12/04,"Jeneroux, Matt",Member,To travel to/from constituency and Ottawa,2020/12/04,Ottawa,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,,,,,,,559.2400,0.0000,0.0000,0.0000,0.0000,0,559.24
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/05,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/16,Edmonton,Leduc,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/17,Edmonton,Wetaskiwin,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/19,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/22,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/28,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/29,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/30,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/31,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/06,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/07,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/08,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/09,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/10,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/11,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/12,Edmonton,Edmonton,,,,,,,
T0209767,2020/12/05,2020/12/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2020/12/14,Edmonton,Edmonton,,,,,,,
T0209200,2020/12/12,2021/01/11,,,,,,,0.0000,183.4100,0.0000,0,0,0,183.41
T0209200,2020/12/12,2021/01/11,"Jeneroux, Matt",Member,Secondary Residence,2020/12/12,Ottawa,Ottawa,,,,,,,
T0210193,2021/01/02,2021/01/31,,,,,,,606.3000,0.0000,0.0000,0.0000,0,0,606.30
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/02,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/15,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/16,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/17,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/18,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/19,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/20,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/21,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/22,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/23,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/24,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/03,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/25,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/26,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/27,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/28,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/29,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/30,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/31,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/04,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/06,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/08,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/10,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/11,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/12,Edmonton,Edmonton,,,,,,,
T0210193,2021/01/02,2021/01/31,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/01/13,Edmonton,Edmonton,,,,,,,
T0210325,2021/01/11,2021/02/10,,,,,,,0.0000,30.3100,0.0000,0,0,0,30.31
T0210325,2021/01/11,2021/02/10,"Jeneroux, Matt",Member,Secondary Residence,2021/01/11,Ottawa,Ottawa,,,,,,,
T0209884,2021/01/25,2021/03/08,,,,,,,0.0000,212.6900,0.0000,0,0,0,212.69
T0209884,2021/01/25,2021/03/08,"Jeneroux, Matt",Member,Secondary Residence,2021/01/25,Ottawa,Ottawa,,,,,,,
T0209884,2021/01/25,2021/03/08,"Jeneroux, Matt",Member,Secondary Residence,2021/02/08,Ottawa,Ottawa,,,,,,,
200467583,2021/02/01,2021/02/28,,,,,,,0.0000,1635.0000,0.0000,0,0,0,1635.00
200467583,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,Secondary Residence,2021/02/01,OTTAWA,OTTAWA,,,,,,,
T0211213,2021/02/01,2021/02/28,,,,,,,670.1800,0.0000,0.0000,0.0000,0,0,670.18
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/01,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/13,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/14,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/15,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/16,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/17,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/18,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/19,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/20,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/21,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/22,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/02,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/23,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/24,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/25,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/26,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/27,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/28,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/03,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/06,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/07,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/08,Edmonton,Edmonton,,,,,,,
T0211213,2021/02/01,2021/02/28,"Jeneroux, Matt",Member,To attend meetings about constituency issues,2021/02/10,Edmonton,Edmonton,,,,,,,
