Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0208580,2020/06/04,2020/06/14,,,,,,,611.5200,99.5000,322.4600,0.0000,0.0000,0,1033.48
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/08,Saint Andrews,St. Stephen,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/08,St. Stephen,Saint Andrews,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/10,Saint Andrews,St. Stephen,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/10,St. Stephen,Saint Andrews,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To conduct constituency office business,2020/06/10,Saint Andrews,Saint John,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To conduct constituency office business,2020/06/10,Saint John,Saint Andrews,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/12,Saint Andrews,Lords Cove,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend a constituency or community event,2020/06/12,Lords Cove,Lords Cove,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend a constituency or community event,2020/06/12,Lords Cove,Lepreau,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/12,Lepreau,Saint Andrews,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To conduct constituency office business,2020/06/04,Saint John,Saint Andrews,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/13,Saint Andrews,St. Stephen,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/13,St. Stephen,Saint Andrews,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/14,Saint Andrews,St. George,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/14,St. George,Saint Andrews,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/05,Saint Andrews,Hanwell,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/05,Hanwell,Fredericton,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/06,Fredericton,Mactaquac Provincial Park,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/06,Mactaquac Provincial Park,Fredericton,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/06,Fredericton,Island View,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To conduct constituency office business,2020/06/04,Saint Andrews,Saint John,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/06,Island View,Harvey Station,,,,,,,
T0208580,2020/06/04,2020/06/14,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/06,Harvey Station,Saint Andrews,,,,,,,
T0208595,2020/06/15,2020/06/28,,,,,,,635.3300,44.6400,322.2300,0.0000,0.0000,0,1002.20
T0208595,2020/06/15,2020/06/28,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/15,Saint Andrews,St. Stephen,,,,,,,
T0208595,2020/06/15,2020/06/28,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/19,Oak Bay,Saint Andrews,,,,,,,
T0208595,2020/06/15,2020/06/28,"Williamson, John",Member,To attend meetings about constituency issues,2020/06/22,Saint Andrews,St. Stephen,,,,,,,
