Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0218546,2021/08/04,2021/08/07,,,,,,,1205.3000,723.8000,400.5400,0,1.0000,0,2329.64
T0218546,2021/08/04,2021/08/07,"Sahota, Ruby",Member,To attend a national caucus meeting,2021/08/04,Brampton,Rocky Harbour,,,,,,,
T0218548,2021/08/04,2021/08/07,,,,,,,1205.3000,0.0000,0.0000,0,1.0000,0,1205.30
T0218548,2021/08/04,2021/08/07,,Dependant,To unite the family with the Member,2021/08/04,Brampton,Rocky Harbour,,,,,,,
T0218547,2021/08/04,2021/08/07,,,,,,,1205.3000,0.0000,0.0000,0,1.0000,0,1205.30
T0218547,2021/08/04,2021/08/07,,Designated Traveller,To unite the family with the Member,2021/08/04,Brampton,Rocky Harbour,,,,,,,
T0218548,2021/08/04,2021/08/07,,Dependant,To unite the family with the Member,2021/08/07,Rocky Harbour,Brampton,,,,,,,
T0218547,2021/08/04,2021/08/07,,Designated Traveller,To unite the family with the Member,2021/08/07,Rocky Harbour,Brampton,,,,,,,
T0218546,2021/08/04,2021/08/07,"Sahota, Ruby",Member,To attend a national caucus meeting,2021/08/07,Rocky Harbour,Brampton,,,,,,,
T0218551,2021/11/02,2021/11/03,,,,,,,888.1100,0.0000,0.0000,1.0000,0,0,888.11
T0218551,2021/11/02,2021/11/03,,Dependant,To unite the family with the Member,2021/11/02,Brampton,Ottawa,,,,,,,
T0218550,2021/11/02,2021/11/03,,,,,,,888.1100,0.0000,0.0000,1.0000,0,0,888.11
T0218550,2021/11/02,2021/11/03,,Designated Traveller,To unite the family with the Member,2021/11/02,Brampton,Ottawa,,,,,,,
T0218550,2021/11/02,2021/11/03,,Designated Traveller,To unite the family with the Member,2021/11/03,Ottawa,Brampton,,,,,,,
T0218551,2021/11/02,2021/11/03,,Dependant,To unite the family with the Member,2021/11/03,Ottawa,Brampton,,,,,,,
T0218549,2021/11/02,2021/11/04,,,,,,,1010.4300,354.6600,202.2300,1.0000,0,0,1567.32
T0218549,2021/11/02,2021/11/04,"Sahota, Ruby",Member,To travel to/from constituency and Ottawa,2021/11/02,Brampton,Ottawa,,,,,,,
T0218549,2021/11/02,2021/11/04,"Sahota, Ruby",Member,To travel to/from constituency and Ottawa,2021/11/03,Ottawa,Brampton,,,,,,,
T0218552,2021/11/08,2021/11/08,,,,,,,714.8800,0.0000,101.1200,1.0000,0,0,816.00
T0218552,2021/11/08,2021/11/08,"Sahota, Ruby",Member,To travel to/from constituency and Ottawa,2021/11/08,Brampton,Ottawa,,,,,,,
T0218552,2021/11/08,2021/11/08,"Sahota, Ruby",Member,To travel to/from constituency and Ottawa,2021/11/08,Ottawa,Brampton,,,,,,,
T0219345,2021/11/22,2021/11/26,,,,,,,799.9900,793.2500,505.5800,1.0000,0,0,2098.82
T0219345,2021/11/22,2021/11/26,"Sahota, Ruby",Member,To travel to/from constituency and Ottawa,2021/11/22,Brampton,Ottawa,,,,,,,
T0219345,2021/11/22,2021/11/26,"Sahota, Ruby",Member,To travel to/from constituency and Ottawa,2021/11/26,Ottawa,Brampton,,,,,,,
