Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0230280,2022/05/08,2022/05/13,,,,,,,443.8900,0.0000,331.8300,1.0000,0,0,775.72
T0230280,2022/05/08,2022/05/13,"Hussen, Hon. Ahmed",Member,To travel to/from constituency and Ottawa,2022/05/08,Toronto,Ottawa,,,,,,,
T0230280,2022/05/08,2022/05/13,"Hussen, Hon. Ahmed",Member,To travel to/from constituency and Ottawa,2022/05/13,Ottawa,Toronto,,,,,,,
T0231218,2022/05/15,2022/05/20,,,,,,,443.4000,0.0000,331.8300,1.0000,0,0,775.23
T0231218,2022/05/15,2022/05/20,"Hussen, Hon. Ahmed",Member,To travel to/from constituency and Ottawa,2022/05/15,Toronto,Ottawa,,,,,,,
T0231218,2022/05/15,2022/05/20,"Hussen, Hon. Ahmed",Member,To travel to/from constituency and Ottawa,2022/05/20,Ottawa,Toronto,,,,,,,
T0231219,2022/05/29,2022/06/03,,,,,,,443.4000,0.0000,351.6100,1.0000,0,0,795.01
T0231219,2022/05/29,2022/06/03,"Hussen, Hon. Ahmed",Member,To travel to/from constituency and Ottawa,2022/05/29,Toronto,Ottawa,,,,,,,
T0231219,2022/05/29,2022/06/03,"Hussen, Hon. Ahmed",Member,To travel to/from constituency and Ottawa,2022/06/03,Ottawa,Toronto,,,,,,,
T0231220,2022/06/05,2022/06/10,,,,,,,443.4000,0.0000,351.6100,1.0000,0,0,795.01
T0231220,2022/06/05,2022/06/10,"Hussen, Hon. Ahmed",Member,To travel to/from constituency and Ottawa,2022/06/05,Toronto,Ottawa,,,,,,,
T0231220,2022/06/05,2022/06/10,"Hussen, Hon. Ahmed",Member,To travel to/from constituency and Ottawa,2022/06/10,Ottawa,Toronto,,,,,,,
T0231221,2022/06/12,2022/06/17,,,,,,,443.4000,0.0000,351.6100,1.0000,0,0,795.01
T0231221,2022/06/12,2022/06/17,"Hussen, Hon. Ahmed",Member,To travel to/from constituency and Ottawa,2022/06/12,Toronto,Ottawa,,,,,,,
T0231221,2022/06/12,2022/06/17,"Hussen, Hon. Ahmed",Member,To travel to/from constituency and Ottawa,2022/06/17,Ottawa,Toronto,,,,,,,
T0231224,2022/06/15,2022/06/17,,,,,,,443.4000,312.6800,175.8000,1.0000,0,0,931.88
T0231224,2022/06/15,2022/06/17,"Whitten, Christine",Employee,To attend training,2022/06/15,Toronto,Ottawa,,,,,,,
T0231224,2022/06/15,2022/06/17,"Whitten, Christine",Employee,To attend training,2022/06/17,Ottawa,Toronto,,,,,,,
T0231222,2022/06/19,2022/06/25,,,,,,,443.4000,0.0000,351.6100,1.0000,0,0,795.01
T0231222,2022/06/19,2022/06/25,"Hussen, Hon. Ahmed",Member,To travel to/from constituency and Ottawa,2022/06/20,Toronto,Ottawa,,,,,,,
T0231222,2022/06/19,2022/06/25,"Hussen, Hon. Ahmed",Member,To travel to/from constituency and Ottawa,2022/06/25,Ottawa,Toronto,,,,,,,
200582439,2022/07/01,2022/07/31,,,,,,,0.0000,1870.0000,0.0000,0,0,0,1870.00
200582439,2022/07/01,2022/07/31,"Hussen, Hon. Ahmed",Member,Secondary Residence,2022/07/01,OTTAWA,OTTAWA,,,,,,,
200590066,2022/08/01,2022/08/31,,,,,,,0.0000,1870.0000,0.0000,0,0,0,1870.00
200590066,2022/08/01,2022/08/31,"Hussen, Hon. Ahmed",Member,Secondary Residence,2022/08/01,OTTAWA,OTTAWA,,,,,,,
T0234456,2022/08/14,2022/08/19,,,,,,,1353.9700,0.0000,0.0000,0,0.0000,0,1353.97
T0234456,2022/08/14,2022/08/19,"Hussen, Hon. Ahmed",Member,To attend language training,2022/08/14,Toronto,Quebec City,,,,,,,
T0234456,2022/08/14,2022/08/19,"Hussen, Hon. Ahmed",Member,To attend language training,2022/08/19,Quebec City,Toronto,,,,,,,
T0234457,2022/08/21,2022/08/26,,,,,,,1350.9600,0.0000,0.0000,0,0.0000,0,1350.96
T0234457,2022/08/21,2022/08/26,"Hussen, Hon. Ahmed",Member,To attend language training,2022/08/21,Toronto,Quebec City,,,,,,,
T0234457,2022/08/21,2022/08/26,"Hussen, Hon. Ahmed",Member,To attend language training,2022/08/26,Quebec City,Toronto,,,,,,,
T0234458,2022/08/28,2022/09/01,,,,,,,1101.8900,1239.4700,218.8500,0,0.0000,0,2560.21
T0234458,2022/08/28,2022/09/01,"Hussen, Hon. Ahmed",Member,To attend language training,2022/08/28,Toronto,Quebec City,,,,,,,
T0234458,2022/08/28,2022/09/01,"Hussen, Hon. Ahmed",Member,To attend language training,2022/09/01,Quebec City,Toronto,,,,,,,
200600098,2022/09/01,2022/09/30,,,,,,,0.0000,1870.0000,0.0000,0,0,0,1870.00
200600098,2022/09/01,2022/09/30,"Hussen, Hon. Ahmed",Member,Secondary Residence,2022/09/01,OTTAWA,OTTAWA,,,,,,,
T0235143,2022/09/11,2022/09/14,,,,,,,1172.9900,733.8800,116.9200,0,1.0000,0,2023.79
T0235143,2022/09/11,2022/09/14,"Hussen, Hon. Ahmed",Member,To attend a national caucus meeting,2022/09/11,Toronto,Saint John,,,,,,,
T0235143,2022/09/11,2022/09/14,"Hussen, Hon. Ahmed",Member,To attend a national caucus meeting,2022/09/14,Moncton,Ottawa,,,,,,,
T0235255,2022/09/14,2022/09/16,,,,,,,231.8300,0.0000,175.8000,0.5000,0,0,407.63
T0235255,2022/09/14,2022/09/16,"Hussen, Hon. Ahmed",Member,To travel to/from constituency and Ottawa,2022/09/16,Ottawa,Toronto,,,,,,,
200607389,2022/10/01,2022/10/31,,,,,,,0.0000,1870.0000,0.0000,0,0,0,1870.00
200607389,2022/10/01,2022/10/31,"Hussen, Hon. Ahmed",Member,Secondary Residence,2022/10/01,OTTAWA,OTTAWA,,,,,,,
